Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY08 Enplanements,CY07 Enplanements,% Change
208.0,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,126947.0,116791.0,0.087
209.0,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,124667.0,142365.0,-0.1243
210.0,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,122192.0,109366.0,0.1173
211.0,GL,WI,LSE,La Crosse,La Crosse Municipal,P,N,111462.0,121243.0,-0.0807
212.0,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,111184.0,104105.0,0.068
213.0,SO,PR,PSE,Ponce,Mercedita,P,N,110159.0,118699.0,-0.0719
214.0,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,110151.0,110835.0,-0.0062
215.0,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,108837.0,111048.0,-0.0199
216.0,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,108325.0,120465.0,-0.1008
217.0,SW,TX,LRD,Laredo,Laredo International,P,N,106682.0,113974.0,-0.064
218.0,WP,CA,ACV,Arcata,Arcata,P,N,106637.0,105969.0,0.0063
219.0,EA,NY,ELM,Elmira/Corning,Elmira/Corning Regional,P,N,104508.0,99211.0,0.0534
220.0,WP,CA,STS,Santa Rosa,Charles M. Schulz - Sonoma County,P,N,100676.0,53920.0,0.8671
221.0,AL,AK,SCC,Deadhorse,Deadhorse,P,N,99719.0,52517.0,0.8988
222.0,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,98225.0,112440.0,-0.1264
223.0,AL,AK,ENA,Kenai,Kenai Municipal,P,N,96565.0,94720.0,0.0195
224.0,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,91866.0,85665.0,0.0724
225.0,WP,HI,MKK,Kaunakakai,Molokai,P,N,89468.0,105953.0,-0.1556
226.0,SW,LA,MLU,Monroe,Monroe Regional,P,N,88229.0,109011.0,-0.1906
227.0,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,88093.0,82700.0,0.0652
228.0,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,87812.0,77579.0,0.1319
229.0,SW,TX,ABI,Abilene,Abilene Regional,P,N,87682.0,90369.0,-0.0297
230.0,NM,CO,MTJ,Montrose,Montrose Regional,P,N,85868.0,92582.0,-0.0725
231.0,NM,MT,HLN,Helena,Helena Regional,P,N,85649.0,83402.0,0.0269
232.0,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,85095.0,97344.0,-0.1258
233.0,EA,WV,HTS,Huntington,Tri-State/Milton J. Ferguson Field,P,N,83531.0,62364.0,0.3394
234.0,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,82723.0,91258.0,-0.0935
