ST,RO,Locid,Airport Name,City,Svc Lvl,Hub,CY 2003 Enplanements
NY,EA,N89,Joseph Y Resnick,Ellenville,GA,None,3.0
NY,EA,44N,Sky Acres,Millbrook,GA,None,2.0
NY,EA,OIC,Lt Warren Eaton,Norwich,GA,None,2.0
NY,EA,21N,Mattituck,Mattituck,GA,None,1.0
NY Total,,,,,,,34560960.0
OH,GL,CLE,Cleveland-Hopkins Int'l,Cleveland,P,M,5012446.0
OH,GL,CMH,Port Columbus Int'l,Columbus,P,M,3050585.0
OH,GL,DAY,James M Cox Dayton Int'l,Dayton,P,S,1306740.0
OH,GL,CAK,Akron-Canton Regional,Akron,P,S,576472.0
OH,GL,TOL,Toledo Express,Toledo,P,N,295309.0
OH,GL,LCK,Rickenbacker Int'l,Columbus,P,N,25514.0
OH,GL,YNG,Youngstown-Warren Regional,Youngstown/Warren,CS,None,8078.0
OH,GL,BKL,Burke Lakefront,Cleveland,GA,None,573.0
OH,GL,FFO,Wright-Patterson AFB,Dayton,GA,None,552.0
OH,GL,LUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,GA,None,386.0
OH,GL,38D,Salem Airpark Inc,Salem,GA,None,268.0
OH,GL,FDY,Findlay,Findlay,GA,None,266.0
OH,GL,5G7,Bluffton,Bluffton,GA,None,230.0
OH,GL,MFD,Mansfield Lahm Regional,Mansfield,GA,None,166.0
OH,GL,16G,Seneca County,Tiffin,GA,None,163.0
OH,GL,AOH,Lima Allen County,Lima,GA,None,130.0
OH,GL,CGF,Cuyahoga County,Cleveland,GA,None,59.0
OH,GL,OSU,Ohio State University,Columbus,GA,None,49.0
OH,GL,TDZ,Metcalf Field,Walbridge,GA,None,49.0
OH,GL,SKY,Griffing Sandusky,Sandusky,GA,None,37.0
OH,GL,MGY,Dayton-Wright Brothers,Dayton,GA,None,34.0
OH,GL,DLZ,Delaware Municipal,Delaware,GA,None,32.0
OH,GL,S24,Sandusky County Regional,Fremont,GA,None,31.0
OH,GL,AXV,Neil Armstrong,Wapakoneta,GA,None,29.0
OH,GL,LPR,Lorain County Regional,Lorain,GA,None,24.0
OH,GL,14G,Fremont,Fremont,GA,None,22.0
OH,GL,EDJ,Bellefontaine Regional,Bellefontaine,GA,None,15.0
OH,GL,RZT,Ross County,Chillicothe,GA,None,14.0
OH,GL,PCW,Carl R Keller Field,Port Clinton,GA,None,13.0
OH,GL,02G,Columbiana County,East Liverpool,GA,None,11.0
OH,GL,1G0,Wood County,Bowling Green,GA,None,10.0
OH,GL,HAO,Butler County Regional,Hamilton,GA,None,10.0
OH,GL,4I9,Morrow County,Mount Gilead,GA,None,10.0
OH,GL,56D,Wyandot County,Upper Sandusky,GA,None,10.0
OH,GL,UNI,Ohio University Snyder Field,Athens/Albany,GA,None,8.0
OH,GL,GQQ,Galion Municipal,Crestline,GA,None,8.0
OH,GL,MRT,Union County,Marysville,GA,None,8.0
OH,GL,OXD,Miami University,Oxford,GA,None,8.0
OH,GL,SGH,Springfield-Beckley Municipal,Springfield,GA,None,8.0
OH,GL,1G3,Kent State University,Stow,GA,None,8.0
OH,GL,VES,Darke County,Versailles,GA,None,8.0
OH,GL,FZI,Fostoria Metropolitan,Fostoria,GA,None,7.0
OH,GL,I68,Lebanon-Warren County,Lebanon,GA,None,7.0
OH,GL,7W5,Henry County,Napoleon,GA,None,7.0
OH,GL,LNN,Willoughby Lost Nation Municipal,Willoughby,GA,None,7.0
OH,GL,0G6,Williams County,Bryan,GA,None,6.0
OH,GL,ISZ,Cincinnati-Blue Ash,Cincinnati,GA,None,6.0
OH,GL,5A1,Norwalk-Huron County,Norwalk,GA,None,6.0
OH,GL,BJJ,Wayne County,Wooster,GA,None,5.0
OH,GL,4G4,Youngstown Elser Metro,Youngstown,GA,None,5.0
OH,GL,LHQ,Fairfield County,Lancaster,GA,None,4.0
OH,GL,CQA,Lakefield,Celina,GA,None,3.0
OH,GL,MWO,Hook Field Municipal,Middletown,GA,None,3.0
