Rank,RO,Locid,Airport Name,City,State,Svc Lvl,Hub,CY 2002 Boardings ,CY 2001 Boardings,% Change,CY
84.0,NM,COS,City of Colorado Springs Municipal,Colorado Springs,CO,P,S,1038027.0,1050344.0,-0.0117,2002.0
85.0,EA,ISP,Long Island MacArthur,Islip,NY,P,S,961601.0,1009919.0,-0.0478,2002.0
86.0,GL,GRR,Gerald R. Ford International,Grand Rapids,MI,P,S,960482.0,906768.0,0.0592,2002.0
87.0,EA,SYR,Syracuse Hancock International,Syracuse,NY,P,S,945066.0,936450.0,0.0092,2002.0
88.0,SO,SAV,"Savannah / 
Hilton Head International",Savannah,GA,P,S,846683.0,836791.0,0.0118,2002.0
89.0,CE,DSM,Des Moines International,Des Moines,IA,P,S,846301.0,789715.0,0.0717,2002.0
90.0,SO,CHS,Charleston AFB / International,Charleston,SC,P,S,788811.0,786326.0,0.0032,2002.0
91.0,GL,MSN,Dane County Regional - Truax Field,Madison,WI,P,S,759506.0,675034.0,0.1251,2002.0
92.0,WP,ITO,Hilo International,Hilo,HI,P,S,712162.0,714537.0,-0.0033,2002.0
93.0,WP,LGB,Long Beach /Daugherty Field/,Long Beach,CA,P,S,708686.0,297130.0,1.3851,2002.0
94.0,SO,TYS,McGhee Tyson,Maryville,TN,P,S,693351.0,705607.0,-0.0174,2002.0
95.0,SO,GSP,"Greenville - 
Spartanburg International",Greer,SC,P,S,688061.0,701606.0,-0.0193,2002.0
96.0,SO,PNS,Pensacola Regional,Pensacola,FL,P,S,665881.0,520953.0,0.2782,2002.0
97.0,EA,MDT,Harrisburg International,Harrisburg,PA,P,S,652552.0,556672.0,0.1722,2002.0
98.0,SO,SFB,Orlando Sanford,Sanford,FL,P,S,648144.0,645944.0,0.0034,2002.0
99.0,CE,ICT,Wichita Mid - Continent,Wichita,KS,P,S,635839.0,527062.0,0.2064,2002.0
100.0,NE,PWM,Portland International Jetport,Portland,ME,P,S,623093.0,625591.0,-0.004,2002.0
101.0,SO,MYR,Myrtle Beach International,Myrtle Beach,SC,P,S,614828.0,695502.0,-0.116,2002.0
102.0,SO,JAN,Jackson International,Jackson,MS,P,S,611117.0,642146.0,-0.0483,2002.0
103.0,SO,SRQ,Sarasota / Bradenton International,Sarasota / Bradenton,FL,P,S,563625.0,590391.0,-0.0453,2002.0
104.0,WP,PSP,Palm Springs International,Palm Springs,CA,P,S,547190.0,586028.0,-0.0663,2002.0
105.0,NE,BTV,Burlington International,Burlington,VT,P,S,546857.0,509031.0,0.0743,2002.0
106.0,SO,TLH,Tallahassee Regional,Tallahassee,FL,P,S,538289.0,424132.0,0.2692,2002.0
107.0,WP,GSN,Saipan International,Saipan Island,MP,P,S,513734.0,516137.0,-0.0047,2002.0
108.0,SO,CAE,Columbia Metropolitan,Columbia,SC,P,S,513307.0,537727.0,-0.0454,2002.0
109.0,SO,STT,Cyril E King,Charlotte Amalie,VI,P,S,512986.0,516389.0,-0.0066,2002.0
110.0,SW,LBB,Lubbock International,Lubbock,TX,P,S,509452.0,536174.0,-0.0498,2002.0
111.0,WP,FAT,Fresno Yosemite International,Fresno,CA,P,S,497156.0,457570.0,0.0865,2002.0
112.0,SO,HSV,"Huntsville International - 
Carl T Jones Field",Huntsville,AL,P,S,481374.0,473148.0,0.0174,2002.0
113.0,SO,LEX,Blue Grass,Lexington,KY,P,S,477173.0,440797.0,0.0825,2002.0
114.0,EA,HPN,Westchester County,White Plains,NY,P,S,461448.0,456296.0,0.0113,2002.0
115.0,GL,CAK,Akron - Canton Regional,Akron,OH,P,S,440346.0,349841.0,0.2587,2002.0
116.0,CE,CID,The Eastern Iowa,Cedar Rapids,IA,P,S,434063.0,440797.0,-0.0153,2002.0
117.0,EA,ACY,Atlantic City International,Atlantic City,NJ,P,S,417764.0,386746.0,0.0802,2002.0
118.0,GL,SBN,South Bend Regional,South Bend,IN,P,S,409319.0,375817.0,0.0891,2002.0
119.0,SW,MAF,Midland International,Midland,TX,P,S,405917.0,437045.0,-0.0712,2002.0
120.0,SO,GPT,Gulfport - Biloxi International,Gulfport,MS,P,S,399499.0,420769.0,-0.0506,2002.0
121.0,EA,ABE,Lehigh Valley International,Allentown,PA,P,S,397408.0,478367.0,-0.1692,2002.0
122.0,SW,HRL,Valley International,Harlingen,TX,P,S,390584.0,439932.0,-0.1122,2002.0
123.0,SW,AMA,Amarillo International,Amarillo,TX,P,S,390246.0,424318.0,-0.0803,2002.0
