Rank,FAA Region,ST,Locid,City,Airport Name,Service Lvel,Hub,CY 14 Enplanements,CY 13 Enplanements,% Change
576,AL,AK,AFM,Ambler,Ambler,GA,None,2120,1971,0.0756
577,AL,AK,AQT,Nuiqsut,Nuiqsut,GA,None,2113,2326,-0.0916
580,AL,AK,PGM,Port Graham,Port Graham,GA,None,2072,1806,0.1473
581,AL,AK,7AK,Akutan,Akutan,GA,None,2051,340,5.0324
582,AL,AK,BTT,Bettles,Bettles,GA,None,2035,2079,-0.0212
585,AL,AK,SMK,St Michael,St Michael,GA,None,2018,2233,-0.0963
587,AL,AK,ATK,Atqasuk,Atqasuk Edward Burnell Sr Memorial,GA,None,2004,2126,-0.0574
589,AL,AK,UUO,Willow,Willow,GA,None,2000,5002,-0.6002
591,AL,AK,KTS,Brevig Mission,Brevig Mission,GA,None,1948,1722,0.1312
593,AL,AK,SXP,Sheldon Point,Sheldon Point,GA,None,1940,1199,0.618
594,AL,AK,IGT,Nightmute,Nightmute,GA,None,1939,1942,-0.0015
595,AL,AK,ORI,Port Lions,Port Lions,GA,None,1910,1860,0.0269
597,AL,AK,4K5,Ouzinkie,Ouzinkie,GA,None,1897,1862,0.0188
598,AL,AK,KAE,Kake,Kake,GA,None,1883,1723,0.0929
600,AL,AK,PIZ,Point Lay,Point Lay LRRS,GA,None,1880,1999,-0.0595
601,AL,AK,GLV,Golovin,Golovin,GA,None,1873,1606,0.1663
602,AL,AK,WNA,Napakiak,Napakiak,GA,None,1861,1815,0.0253
603,AL,AK,6A8,Allakaket,Allakaket,GA,None,1851,1801,0.0278
608,AL,AK,ARC,Arctic Village,Arctic Village,GA,None,1707,1754,-0.0268
609,AL,AK,LKK,Kulik Lake,Kulik Lake,GA,None,1691,1779,-0.0495
610,AL,AK,5NN,Nondalton,Nondalton,GA,None,1683,384,3.3828
611,AL,AK,AGN,Angoon,Angoon,GA,None,1670,1734,-0.0369
617,AL,AK,KAL,Kaltag,Kaltag,GA,None,1631,1645,-0.0085
619,AL,AK,DEE,Deering,Deering,GA,None,1571,1341,0.1715
621,AL,AK,KWF,Waterfall,Waterfall,GA,None,1510,1175,0.2851
623,AL,AK,TOG,Togiak Village,Togiak,GA,None,1489,943,0.579
629,AL,AK,WMO,White Mountain,White Mountain,GA,None,1416,1270,0.115
631,AL,AK,GNU,Goodnews Bay,Goodnews,GA,None,1410,1540,-0.0844
632,AL,AK,IWK,Wales,Wales,GA,None,1376,1259,0.0929
635,AL,AK,OBU,Kobuk,Kobuk,GA,None,1342,1575,-0.1479
636,AL,AK,HYL,Hollis,Hollis Clark Bay,GA,None,1326,1360,-0.025
637,AL,AK,HCA,Holy Cross,Holy Cross,GA,None,1323,1513,-0.1256
638,AL,AK,MYU,Mekoryuk,Mekoryuk,GA,None,1302,1365,-0.0462
641,AL,AK,AKK,Akhiok,Akhiok,GA,None,1243,955,0.3016
645,AL,AK,TER,Teller,Teller,GA,None,1198,927,0.2923
646,AL,AK,EII,Egegik,Egegik,GA,None,1168,1429,-0.1826
652,AL,AK,9K2,Kokhanok,Kokhanok,GA,None,1063,881,0.2066
656,AL,AK,KYU,Koyukuk,Koyukuk,GA,None,1031,847,0.2172
662,AL,AK,PEC,Pelican,Pelican,GA,None,996,850,0.1718
666,AL,AK,KGX,Grayling,Grayling,GA,None,972,920,0.0565
668,AL,AK,HUS,Hughes,Hughes,GA,None,966,1092,-0.1154
669,AL,AK,WBQ,Beaver,Beaver,GA,None,946,943,0.0032
672,AL,AK,PTU,Platinum,Platinum,GA,None,924,961,-0.0385
680,AL,AK,ANV,Anvik,Anvik,GA,None,817,962,-0.1507
689,AL,AK,CIK,Chalkyitsik,Chalkyitsik,GA,None,762,770,-0.0104
690,AL,AK,SHX,Shageluk,Shageluk,GA,None,753,921,-0.1824
692,AL,AK,PTH,Port Heiden,Port Heiden,GA,None,746,730,0.0219
695,AL,AK,KNW,New Stuyahok,New Stuyahok,GA,None,694,672,0.0327
699,AL,AK,FBK,Fairbanks/Ft Wainwright,Ladd AAF,GA,None,638,882,-0.2766
700,AL,AK,4K0,Pedro Bay,Pedro Bay,GA,None,634,90,6.0444
701,AL,AK,TKE,Tenakee Springs,Tenakee,GA,None,634,798,-0.2055
702,AL,AK,IGG,Igiugig,Igiugig,GA,None,622,320,0.9438
703,AL,AK,JZZ,Koliganek,Koliganek,GA,None,616,405,0.521
706,AL,AK,EAA,Eagle,Eagle,GA,None,596,551,0.0817
708,AL,AK,A79,Chignik Lake,Chignik Lake,GA,None,576,64,8
710,AL,AK,6K8,Tok,Tok Junction,GA,None,553,0,0
713,AL,AK,ELV,Elfin Cove,Elfin Cove,GA,None,546,453,0.2053
716,AL,AK,PEV,Perryville,Perryville,GA,None,535,421,0.2708
719,AL,AK,PNP,Pilot Point,Pilot Point,GA,None,510,644,-0.2081
722,AL,AK,PBV,St. George,St George,GA,None,496,372,0.3333
723,AL,AK,CLP,Clarks Point,Clarks Point,GA,None,495,339,0.4602
725,AL,AK,4AK9,Naknek,Tibbetts,GA,None,468,0,0
727,AL,AK,GBH,Galbraith Lake,Galbraith Lake,GA,None,466,582,-0.1993
728,AL,AK,PPC,Prospect Creek,Prospect Creek,GA,None,466,631,-0.2615
737,AL,AK,CRC,Circle,Circle City,GA,None,406,483,-0.1594
738,AL,AK,CJX,Crooked Creek,Crooked Creek,GA,None,404,386,0.0466
742,AL,AK,UMT,Umiat,Umiat,GA,None,400,652,-0.3865
743,AL,AK,9A3,Chuathbaluk,Chuathbaluk,GA,None,399,327,0.2202
751,AL,AK,KFP,False Pass,False Pass,GA,None,361,371,-0.027
758,AL,AK,FSP,Nikolai,Nikolai,GA,None,346,306,0.1307
761,AL,AK,WSB,Steamboat Bay,Steamboat Bay,GA,None,334,163,1.0491
762,AL,AK,1AK3,Cold Bay,Port Moller,GA,None,327,275,0.1891
764,AL,AK,9Z8,Levelock,Levelock,GA,None,320,292,0.0959
765,AL,AK,SLQ,Sleetmute,Sleetmute,GA,None,319,313,0.0192
774,AL,AK,OUL,Nelson Lagoon,Nelson Lagoon,GA,None,300,305,-0.0164
778,AL,AK,Z78,Chignik,Chignik Bay,GA,None,293,845,-0.6533
779,AL,AK,AKA,Atka,Atka,GA,None,292,131,1.229
780,AL,AK,SVS,Stevens Village,Stevens Village,GA,None,292,578,-0.4948
782,AL,AK,RMP,Rampart,Rampart,GA,None,283,248,0.1411
784,AL,AK,SYA,Shemya,Eareckson AS,GA,None,277,19,13.5789
789,AL,AK,Z91,Birch Creek,Birch Creek,GA,None,261,290,-0.1
791,AL,AK,TCT,Takotna,Takotna,GA,None,259,380,-0.3184
793,AL,AK,KCL,Chignik Flats,Chignik Lagoon,GA,None,257,330,-0.2212
798,AL,AK,AJC,Chignik,Chignik,GA,None,247,298,-0.1711
799,AL,AK,KYK,Karluk,Karluk,GA,None,246,287,-0.1429
801,AL,AK,MLY,Manley Hot Springs,Manley Hot Springs,GA,None,241,116,1.0776
808,AL,AK,MHM,Lake Minchumina,Minchumina,GA,None,225,284,-0.2077
812,AL,AK,51Z,Minto,Minto Al Wright,GA,None,209,192,0.0885
817,AL,AK,KEK,Ekwok,Ekwok,GA,None,190,202,-0.0594
823,AL,AK,IKO,Nikolski,Nikolski AS,GA,None,173,86,1.0116
826,AL,AK,84K,Meyers Chuck,Meyers Chuck,GA,None,160,158,0.0127
841,AL,AK,96Z,North Whale Pass,North Whale,GA,None,138,189,-0.2698
842,AL,AK,KCC,Coffman Cove,Coffman Cove,GA,None,138,155,-0.1097
849,AL,AK,ALZ,Lazy Bay,Alitak,GA,None,125,121,0.0331
851,AL,AK,KXA,Kasaan,Kasaan,GA,None,123,139,-0.1151
858,AL,AK,LUR,Cape Lisburne,Cape Lisburne LRRS,GA,None,120,128,-0.0625
859,AL,AK,EHM,Cape Newenham,Cape Newenham LRRS,GA,None,118,66,0.7879
860,AL,AK,GSZ,Granite Mountain,Granite Mountain AS,GA,None,117,3,38
865,AL,AK,4Z7,Hyder,Hyder,GA,None,110,154,-0.2857
867,AL,AK,UTO,Utopia Creek,Indian Mountain LRRS,GA,None,108,116,-0.069
872,AL,AK,TNC,Tin City,Tin City LRRS,GA,None,104,142,-0.2676
880,AL,AK,76AK,Delta Junction,Pogo Mine Airstrip,GA,None,96,85,0.1294
885,AL,AK,CZN,Chisana,Chisana,GA,None,91,88,0.0341
889,AL,AK,SRV,Stony River,Stony River 2,GA,None,84,67,0.2537
890,AL,AK,AK60,Jensens,Fort Jensen,GA,None,82,0,0
893,AL,AK,WSN,South Naknek,South Naknek Nr 2,GA,None,79,79,0
896,AL,AK,CZF,Cape Romanzof,Cape Romanzof LRRS,GA,None,76,81,-0.0617
901,AL,AK,A63,Twin Hills,Twin Hills,GA,None,72,43,0.6744
905,AL,AK,SKW,Skwentna,Skwentna,GA,None,71,170,-0.5824
906,AL,AK,9A8,Ugashik,Ugashik,GA,None,70,9,6.7778
