Rank,RO,ST,Locid,City,Airport Name,Svc Lvl,Hub,CY 05 Enplanements,CY 04 Enplanements,% Change
1930.0,WP,CA,O55,Bieber,Southard Field,GA,None,1.0,0.0,0.0
1931.0,WP,CA,O57,Bridgeport,Bryant Field,GA,None,1.0,0.0,0.0
1932.0,WP,CA,O89,Fall River Mills,Fall River Mills,GA,None,1.0,0.0,0.0
6.0,NM,CO,DEN,Denver,Denver International,P,L,20799886.0,20407002.0,0.0193
90.0,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,1025481.0,1024656.0,0.0008
174.0,NM,CO,EGE,Eagle,Eagle County Regional,P,N,213233.0,194173.0,0.0982
179.0,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,193961.0,184261.0,0.0526
194.0,NM,CO,GJT,Grand Junction,Walker Field,P,N,156815.0,140618.0,0.1152
205.0,NM,CO,HDN,Hayden,Yampa Valley,P,N,129755.0,120323.0,0.0784
212.0,NM,CO,DRO,Durango,Durango-La Plata County,P,N,101742.0,96560.0,0.0537
229.0,NM,CO,MTJ,Montrose,Montrose Regional,P,N,78669.0,72448.0,0.0859
269.0,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,44865.0,38395.0,0.1685
295.0,NM,CO,FNL,Fort Collins/Loveland,Fort Collins-Loveland Municipal,P,N,34669.0,31928.0,0.0858
338.0,NM,CO,TEX,Telluride,Telluride Regional,P,N,18134.0,18493.0,-0.0194
418.0,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,8205.0,7870.0,0.0426
454.0,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,CS,None,5443.0,5188.0,0.0492
488.0,NM,CO,PUB,Pueblo,Pueblo Memorial,CS,None,4033.0,4511.0,-0.106
605.0,NM,CO,APA,Englewood,Centennial,GA,None,1870.0,46.0,39.6522
733.0,NM,CO,LAA,Lamar,Lamar Municipal,GA,None,544.0,99.0,4.4949
748.0,NM,CO,BJC,Broomfield,Jeffco,GA,None,493.0,94.0,4.2447
881.0,NM,CO,2V1,Pagosa Springs,Stevens Field,GA,None,147.0,0.0,0.0
891.0,NM,CO,BKF,Aurora,Buckley AFB,GA,None,132.0,169.0,-0.2189
972.0,NM,CO,RIL,Rifle,Garfield County Regional,GA,None,73.0,146.0,-0.5
1037.0,NM,CO,AKO,Akron,Colorado Plains Regional,GA,None,50.0,0.0,0.0
1349.0,NM,CO,EEO,Meeker,Meeker,GA,None,12.0,0.0,0.0
1390.0,NM,CO,AIB,Nucla,Hopkins Field,GA,None,10.0,12.0,-0.1667
1419.0,NM,CO,7V2,Paonia,North Fork Valley,GA,None,9.0,0.0,0.0
1489.0,NM,CO,CAG,Craig,Craig-Moffat,GA,None,7.0,0.0,0.0
1538.0,NM,CO,SBS,Steamboat Springs,Steamboat Springs/Bob Adams Field,GA,None,6.0,0.0,0.0
1604.0,NM,CO,1V6,Canon City,Fremont County,GA,None,4.0,0.0,0.0
1623.0,NM,CO,AJZ,Delta,Blake Field,GA,None,4.0,0.0,0.0
1641.0,NM,CO,HEQ,Holyoke,Holyoke,GA,None,4.0,0.0,0.0
1748.0,NM,CO,07V,La Veta,Cuchara Valley at La Veta,GA,None,2.0,0.0,0.0
1852.0,NM,CO,STK,Sterling,Sterling Municipal,GA,None,2.0,0.0,0.0
1855.0,NM,CO,TAD,Trinidad,Perry Stokes,GA,None,2.0,0.0,0.0
49.0,NE,CT,BDL,Windsor Locks,Bradley International,P,M,3617453.0,3326461.0,0.0875
247.0,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,65142.0,39736.0,0.6394
793.0,NE,CT,DXR,Danbury,Danbury Municipal,GA,None,302.0,14.0,20.5714
856.0,NE,CT,OXC,Oxford,Waterbury-Oxford,GA,None,175.0,303.0,-0.4224
1011.0,NE,CT,HFD,Hartford,Hartford-Brainard,GA,None,58.0,49.0,0.1837
1124.0,NE,CT,BDR,Bridgeport,Igor I Sikorsky Memorial,GA,None,31.0,74.0,-0.5811
1254.0,NE,CT,GON,Groton New London,Groton-New London,GA,None,17.0,135.0,-0.8741
1527.0,NE,CT,MMK,Meriden,Meriden Markham Municipal,GA,None,6.0,24.0,-0.75
679.0,EA,DE,ILG,Wilmington,New Castle,GA,None,1084.0,1217.0,-0.1093
699.0,EA,DE,DOV,Dover,Dover AFB,GA,None,910.0,817.0,0.1138
848.0,EA,DE,GED,Georgetown,Sussex County,GA,None,186.0,19.0,8.7895
1903.0,EA,DE,EVY,Middletown,Summit,GA,None,1.0,0.0,0.0
12.0,SO,FL,MCO,Orlando,Orlando International,P,L,16592133.0,15270347.0,0.0866
16.0,SO,FL,MIA,Miami,Miami International,P,L,15092763.0,14515591.0,0.0398
23.0,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,10729468.0,10040598.0,0.0686
27.0,SO,FL,TPA,Tampa,Tampa International,P,L,9297643.0,8436025.0,0.1021
47.0,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,3701665.0,3320019.0,0.115
52.0,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,3496936.0,3281656.0,0.0656
