Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
344,GL,MN,STC,St. Cloud,St. Cloud Regional,P,N,22464,20918,0.0739
345,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,22233,21383,0.0398
346,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,21870,32299,-0.3229
347,SO,KY,PAH,Paducah,Barkley Regional,P,N,20934,20910,0.0011
348,GL,MI,IMT,Iron Mountain,Ford,P,N,19552,17707,0.1042
349,SO,KY,OWB,Owensboro,Owensboro-Daviess County Regional,P,N,19532,19578,-0.0023
350,SO,MS,MEI,Meridian,Key Field,P,N,19332,23923,-0.1919
352,GL,MI,MKG,Muskegon,Muskegon County,P,N,18718,17007,0.1006
353,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,18586,17294,0.0747
354,GL,MI,ESC,Escanaba,Delta County,P,N,18474,16781,0.1009
355,WP,NV,EKO,Elko,Elko Regional,P,N,18363,17115,0.0729
356,NM,UT,OGD,Ogden,Ogden-Hinckley,P,N,18327,20324,-0.0983
357,NE,RI,WST,Westerly,Westerly State,P,N,17694,17021,0.0395
358,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,17654,18280,-0.0342
360,GL,MN,INL,International Falls,Falls International-Einarson Field,P,N,17225,15278,0.1274
361,NM,WY,LAR,Laramie,Laramie Regional,P,N,17188,16072,0.0694
362,NE,ME,RKD,Rockland,Knox County Regional,P,N,17133,16092,0.0647
364,GL,MN,HIB,Hibbing,Range Regional,P,N,17111,15377,0.1128
366,NE,RI,BID,Block Island,Block Island State,P,N,16809,15497,0.0847
367,AL,AK,UNK,Unalakleet,Unalakleet,P,N,16208,16111,0.006
368,CE,KS,SLN,Salina,Salina Regional,P,N,15977,13850,0.1536
369,NM,UT,CDC,Cedar City,Cedar City Regional,P,N,15835,15588,0.0158
370,SO,GA,MCN,Macon,Middle Georgia Regional,P,N,15431,4857,2.1771
371,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,15079,10359,0.4556
372,SO,PR,CPX,Culebra,Benjamin Rivera Noriega,P,N,14612,26556,-0.4498
373,CE,NE,BFF,Scottsbluff,Western Nebraska Regional/William B Heilig Field,P,N,14295,3709,2.8541
374,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,14106,18361,-0.2317
375,NM,UT,CNY,Moab,Canyonlands Field,P,N,14035,10032,0.399
376,AL,AK,WRG,Wrangell,Wrangell,P,N,14033,13160,0.0663
377,CE,NE,LBF,North Platte,North Platte Regional Airport Lee Bird Field,P,N,13798,3911,2.528
378,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,13557,11441,0.1849
379,AL,AK,AKW,Klawock,Klawock,P,N,13503,10923,0.2362
380,NM,WY,SHR,Sheridan,Sheridan County,P,N,13182,10876,0.212
382,AL,AK,LHD,Anchorage,Lake Hood,P,N,12898,20689,-0.3766
383,AL,AK,ANI,Aniak,Aniak,P,N,12853,12735,0.0093
385,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,12369,12971,-0.0464
386,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,P,N,12179,6605,0.8439
387,GL,SD,ATY,Watertown,Watertown Regional,P,N,12064,11160,0.081
388,CE,KS,HYS,Hays,Hays Regional,P,N,11996,9460,0.2681
390,NM,WY,RIW,Riverton,Riverton Regional,P,N,11811,8277,0.427
391,AL,AK,YAK,Yakutat,Yakutat,P,N,11800,10886,0.084
392,GL,ND,JMS,Jamestown,Jamestown Regional,P,N,11768,10917,0.078
393,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,P,N,11633,7709,0.509
394,WP,MP,GRO,Northern Islands (Municipality),Benjamin Taisacan Manglona International,P,N,11625,21214,-0.452
395,GL,MI,APN,Alpena,Alpena County Regional,P,N,11614,11317,0.0262
398,AL,AK,KSM,St. Mary's (ANV/ANVSA),St Mary's,P,N,11442,11528,-0.0075
399,GL,IL,MWA,Marion,Veterans Airport of Southern Illinois,P,N,11078,11029,0.0044
400,AL,AK,GST,Gustavus,Gustavus,P,N,11023,9061,0.2165
401,NE,ME,PQI,Presque Isle,Presque Isle International,P,N,10865,12735,-0.1468
403,NM,UT,VEL,Vernal,Vernal Regional,P,N,10658,6615,0.6112
