Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 09 Boardings,CY 08 Boardings,% Change
316.0,NM,MT,BTM,Butte,Bert Mooney,P,N,25178.0,30431.0,-0.1726
471.0,NM,MT,WYS,West Yellowstone,Yellowstone,CS,--,4331.0,4186.0,0.0346
528.0,NM,MT,SDY,Sidney,Sidney-Richland Municipal,CS,--,2766.0,2031.0,0.3619
644.0,NM,MT,GGW,Glasgow,Wokal Field/Glasgow International,GA,--,1156.0,343.0,2.3703
656.0,NM,MT,LWT,Lewistown,Lewistown Municipal,GA,--,1049.0,596.0,0.7601
675.0,NM,MT,OLF,Wolf Point,L M Clayton,GA,--,900.0,321.0,1.8037
676.0,NM,MT,MLS,Miles City,Frank Wiley Field,GA,--,891.0,264.0,2.375
690.0,NM,MT,HVR,Havre,Havre City-County,GA,--,744.0,180.0,3.1333
732.0,NM,MT,32S,Stevensville,Stevensville,GA,--,500.0,500.0,0.0
788.0,NM,MT,GDV,Glendive,Dawson Community,GA,--,243.0,211.0,0.1517
811.0,NM,MT,6S5,Hamilton,Ravalli County,GA,--,196.0,125.0,0.568
853.0,NM,MT,S59,Libby,Libby,GA,--,130.0,144.0,-0.0972
933.0,NM,MT,3U3,Anaconda,Bowman Field,GA,--,65.0,11.0,4.9091
965.0,NM,MT,S34,Plains,Plains,GA,--,50.0,0.0,0.0
988.0,NM,MT,DLN,Dillon,Dillon,GA,--,41.0,38.0,0.0789
1035.0,NM,MT,S27,Kalispell,Kalispell City,GA,--,30.0,303.0,-0.901
1036.0,NM,MT,THM,Thompson Falls,Thompson Falls,GA,--,30.0,0.0,0.0
1131.0,NM,MT,88M,Eureka,Eureka,GA,--,17.0,4.0,3.25
1204.0,NM,MT,7S1,Twin Bridges,Twin Bridges,GA,--,12.0,22.0,-0.4545
1239.0,NM,MT,38S,Deer Lodge,Deer Lodge-City-County,GA,--,10.0,0.0,0.0
1241.0,NM,MT,9S4,Superior,Mineral County,GA,--,10.0,0.0,0.0
1273.0,NM,MT,M46,Colstrip,Colstrip,GA,--,9.0,0.0,0.0
