RO,ST,City,Airport Name,Locid,Service                     Level   ,Hub            Type,Large   Certified,Small &    Commuter,Air Taxi,FFC &              In-Transit,Total,Airport        % of                       US Total,
SO,TN,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,TRI,P,N,134956.0,74768.0,191.0,0.0,209915.0,0.0003, 
SO,TN,Jackson,Mc Kellar-Sipes Regional,MKL,P,N,38.0,8479.0,1664.0,0.0,10181.0,0.0, 
SW,TX,Fort Worth,Dallas/Fort Worth International,DFW,P,L,25198327.0,47443.0,80.0,364712.0,25610562.0,0.0387, 
SW,TX,Houston,George Bush Intercontinental,IAH,P,L,15639781.0,2125.0,125.0,531520.0,16173551.0,0.0245, 
SW,TX,Houston,William P Hobby,HOU,P,M,4120972.0,4221.0,3777.0,10.0,4128980.0,0.0062, 
SW,TX,Austin,Austin-Bergstrom International,AUS,P,M,3419348.0,8402.0,452.0,0.0,3428202.0,0.0052, 
SW,TX,Dallas,Dallas Love Field,DAL,P,M,3350940.0,7.0,1099.0,37.0,3352083.0,0.0051, 
SW,TX,San Antonio,San Antonio International,SAT,P,M,3254348.0,4.0,501.0,58692.0,3313545.0,0.005, 
SW,TX,El Paso,El Paso International,ELP,P,S,1501879.0,42496.0,258.0,101.0,1544734.0,0.0023, 
SW,TX,Lubbock,Lubbock International,LBB,P,S,535431.0,593.0,150.0,0.0,536174.0,0.0008, 
SW,TX,Harlingen,Valley International,HRL,P,S,437723.0,0.0,2209.0,0.0,439932.0,0.0007, 
SW,TX,Midland,Midland International,MAF,P,S,437020.0,0.0,25.0,0.0,437045.0,0.0007, 
SW,TX,Amarillo,Amarillo International,AMA,P,S,409123.0,14839.0,356.0,0.0,424318.0,0.0006, 
SW,TX,Corpus Christi,Corpus Christi International,CRP,P,S,403728.0,0.0,423.0,0.0,404151.0,0.0006, 
SW,TX,McAllen,McAllen Miller International,MFE,P,N,287683.0,0.0,214.0,0.0,287897.0,0.0004, 
SW,TX,Killeen,Killeen Municipal,ILE,P,N,96632.0,0.0,0.0,0.0,96632.0,0.0001, 
SW,TX,College Station,Easterwood Field,CLL,P,N,82823.0,305.0,86.0,0.0,83214.0,0.0001, 
SW,TX,Laredo,Laredo International,LRD,P,N,75584.0,0.0,26.0,0.0,75610.0,0.0001, 
SW,TX,Beaumont/Port Arthur,Southeast Texas Regional,BPT,P,N,73570.0,25.0,286.0,0.0,73881.0,0.0001, 
SW,TX,Brownsville,Brownsville/South Padre Island International,BRO,P,N,71638.0,0.0,9.0,0.0,71647.0,0.0001, 
SW,TX,Waco,Waco Regional,ACT,P,N,62539.0,262.0,153.0,0.0,62954.0,0.0001, 
SW,TX,Tyler,Tyler Pounds Field,TYR,P,N,61116.0,0.0,40.0,0.0,61156.0,0.0001, 
SW,TX,Abilene,Abilene Regional,ABI,P,N,57995.0,0.0,211.0,0.0,58206.0,0.0001, 
SW,TX,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,SPS,P,N,47718.0,0.0,5.0,0.0,47723.0,0.0001, 
SW,TX,San Angelo,San Angelo Regional/Mathis Field,SJT,P,N,45277.0,0.0,30.0,0.0,45307.0,0.0001, 
SW,TX,Houston,Ellington Field,EFD,P,N,30970.0,0.0,0.0,0.0,30970.0,0.0, 
SW,TX,Longview,Gregg County,GGG,P,N,29749.0,0.0,17.0,0.0,29766.0,0.0, 
SW,TX,Victoria,Victoria Regional,VCT,P,N,15624.0,0.0,14.0,0.0,15638.0,0.0, 
NM,UT,Salt Lake City,Salt Lake City International,SLC,P,L,7839933.0,1092364.0,188.0,19291.0,8951776.0,0.0135, 
NM,UT,St. George,St George Municipal,SGU,P,N,0.0,43480.0,129.0,0.0,43609.0,0.0001, 
