rank,airport_code,airport_name,city,state,enplanements
271,AKN,KING SALMON,KING SALMON,AK,"47,261"
272,MKG,MUSKEGON COUNTY,MUSKEGON,MI,"45,666"
273,IFP,LAUGHLIN/BULLHEAD INTERNATI,BULLHEAD CITY,AZ,"45,444"
274,DLG,DILLINGHAM,DILLINGHAM,AK,"45,398"
275,SAW,SAWYER INTERNATIONAL,MARQUETTE,MI,"45,294"
276,GTR,GOLDEN TRIANGLE REGIONAL,COLUMBUS/W POINT/STA,MS,"45,263"
277,PGV,PITT-GREENVILLE,GREENVILLE,NC,"44,856"
278,SAF,SANTA FE MUNI,SANTA FE,NM,"43,687"
279,SGU,ST GEORGE MUNI,ST GEORGE,UT,"42,733"
280,IPT,WILLIAMSPORT RGNL,WILLIAMSPORT,PA,"41,574"
281,RDG,READING REGIONAL/CARL A SPA,READING,PA,"41,112"
282,ABY,SOUTHWEST GEORGIA REGIONAL,ALBANY,GA,"39,481"
283,EFD,ELLINGTON FIELD,HOUSTON,TX,"39,292"
284,OXR,OXNARD,OXNARD,CA,"38,894"
285,BRW,WILEY POST-WILL ROGERS MEM,BARROW,AK,"38,880"
286,TXK,TEXARKANA REGIONAL-WEBB FIE,TEXARKANA,AR,"38,794"
287,OAJ,ALBERT J ELLIS,JACKSONVILLE,NC,"38,279"
288,HVN,TWEED-NEW HAVEN,NEW HAVEN,CT,"38,159"
289,TNI,WEST TINIAN,TINIAN ISLAND,CM,"38,127"
290,RHI,RHINELANDER-ONEIDA COUNTY,RHINELANDER,WI,"37,937"
291,PSM,PEASE INTERNATIONAL TRADEPO,PORTSMOUTH,NH,"37,786"
292,STS,SONOMA COUNTY,SANTA ROSA,CA,"37,627"
293,GRO,ROTA INTL,ROTA ISLAND,CM,"36,716"
294,COU,COLUMBIA REGIONAL,COLUMBIA,MO,"36,573"
295,TWF,JOSLIN FIELD - MAGIC VALLEY,TWIN FALLS,ID,"36,543"
296,BQN,RAFAEL HERNANDEZ,AGUADILLA,PR,"35,722"
297,JLN,JOPLIN REGIONAL,JOPLIN,MO,"34,223"
298,GGG,GREGG COUNTY,LONGVIEW,TX,"34,051"
299,VLD,VALDOSTA RGNL,VALDOSTA,GA,"33,243"
300,PUW,PULLMAN/MOSCOW REGIONAL,"PULLMAN/MOSCOW,ID",WA,"33,221"
301,CIC,CHICO MUNI,CHICO,CA,"32,418"
302,VQS,ANTONIO RIVERA RODRIGUEZ,ISLA DE VIEQUES,PR,"32,089"
303,LMT,KLAMATH FALLS INTERNATIONAL,KLAMATH FALLS,OR,"31,629"
304,ALW,WALLA WALLA REGIONAL,WALLA WALLA,WA,"31,620"
305,FLG,FLAGSTAFF PULLIAM,FLAGSTAFF,AZ,"31,603"
306,PLN,PELLSTON REGIONAL AIRPORT O,PELLSTON,MI,"31,571"
307,YNG,YOUNGSTOWN-WARREN REGIONAL,YOUNGSTOWN/WARREN,OH,"31,475"
308,CMX,HOUGHTON COUNTY MEMORIAL,HANCOCK,MI,"31,263"
309,DUT,UNALASKA,UNALASKA,AK,"31,109"
310,PAH,BARKLEY REGIONAL,PADUCAH,KY,"30,883"
311,MEI,KEY FIELD,MERIDIAN,MS,"30,785"
312,COD,YELLOWSTONE REGIONAL,CODY,WY,"29,942"
313,MAZ,EUGENIO MARIA DE HOSTOS,MAYAGUEZ,PR,"29,407"
314,OTH,NORTH BEND MUNI,NORTH BEND,OR,"28,961"
315,HOM,HOMER,HOMER,AK,"28,737"
316,LBE,ARNOLD PALMER REGIONAL,LATROBE,PA,"28,662"
317,BJI,BEMIDJI-BELTRAMI COUNTY,BEMIDJI,MN,"28,537"
318,MCN,MIDDLE GEORGIA REGIONAL,MACON,GA,"27,799"
319,CLM,WILLIAM R FAIRCHILD INTL,PORT ANGELES,WA,"26,739"
320,RFD,GREATER ROCKFORD,ROCKFORD,IL,"26,524"
321,MOD,MODESTO CITY-CO-HARRY SHAM,MODESTO,CA,"26,404"
322,HGR,HAGERSTOWN REGIONAL-RICHARD,HAGERSTOWN,MD,"25,923"
323,PQI,NORTHERN MAINE REGIONAL ARP,PRESQUE ISLE,ME,"25,174"
324,ABR,ABERDEEN REGIONAL,ABERDEEN,SD,"24,603"
325,GYY,GARY/CHICAGO,GARY,IN,"24,588"
326,STC,ST CLOUD REGIONAL,ST CLOUD,MN,"23,240"
327,INL,FALLS INTL,INTERNATIONAL FALLS,MN,"23,211"
328,SGY,SKAGWAY,SKAGWAY,AK,"23,002"
329,EWB,NEW BEDFORD REGIONAL,NEW BEDFORD,MA,"22,882"
330,VDZ,VALDEZ,VALDEZ,AK,"22,780"
331,IPL,IMPERIAL COUNTY,IMPERIAL,CA,"22,774"
332,PKB,WOOD COUNTY AIRPORT GILL RO,PARKERSBURG,WV,"22,017"
333,CYS,CHEYENNE,CHEYENNE,WY,"21,720"
334,EAU,CHIPPEWA VALLEY REGIONAL,EAU CLAIRE,WI,"21,493"
335,SHD,SHENANDOAH VALLEY REGIONAL,STAUNTON/WAYNESB/HAR,VA,"21,113"
336,BQK,GLYNCO JETPORT,BRUNSWICK,GA,"20,980"
337,JST,JOHNSTOWN-CAMBRIA COUNTY,JOHNSTOWN,PA,"20,820"
338,CDV,MERLE K (MUDHOLE) SMITH,CORDOVA,AK,"20,354"
339,BRD,BRAINERD-CROW WING CO REGIO,BRAINERD,MN,"20,175"
340,LAF,PURDUE UNIVERSITY,LAFAYETTE,IN,"20,128"
341,ESC,DELTA COUNTY,ESCANABA,MI,"19,342"
342,MGW,MORGANTOWN MUNI-WALTER L. B,MORGANTOWN,WV,"19,328"
343,PIR,PIERRE REGIONAL,PIERRE,SD,"19,221"
344,LHD,LAKE HOOD,ANCHORAGE,AK,"19,127"
345,PSG,PETERSBURG JAMES A JOHNSON,PETERSBURG,AK,"18,998"
346,1G4,GRAND CANYON WEST,PEACH SPRINGS,AZ,"18,898"
347,PGA,PAGE MUNI,PAGE,AZ,"18,768"
348,VCT,VICTORIA REGIONAL,VICTORIA,TX,"18,679"
349,JHW,CHAUTAUQUA COUNTY/JAMESTOWN,JAMESTOWN,NY,"18,298"
350,SLN,SALINA MUNI,SALINA,KS,"18,212"
351,SOP,MOORE COUNTY,PINEHURST/SOUTHERN P,NC,"17,751"
352,RKD,KNOX COUNTY REGIONAL,ROCKLAND,ME,"17,328"
353,ANI,ANIAK,ANIAK,AK,"17,194"
354,TEX,TELLURIDE REGIONAL,TELLURIDE,CO,"17,107"
355,SCC,DEADHORSE,DEADHORSE,AK,"16,941"
356,ROW,ROSWELL INDUSTRIAL AIR CENT,ROSWELL,NM,"16,706"
357,BRL,BURLINGTON REGIONAL,BURLINGTON,IA,"16,511"
358,TUP,TUPELO RGNL,TUPELO,MS,"16,433"
359,GCC,GILLETTE-CAMPBELL COUNTY,GILLETTE,WY,"16,419"
360,DEC,DECATUR,DECATUR,IL,"16,240"
361,SHR,SHERIDAN COUNTY,SHERIDAN,WY,"16,082"
362,HKY,HICKORY REGIONAL,HICKORY,NC,"16,010"
363,X95,DIEGO JIMENEZ TORRES,FAJARDO,PR,"15,798"
364,CKB,BENEDUM,CLARKSBURG,WV,"15,771"
365,PVC,PROVINCETOWN MUNI,PROVINCETOWN,MA,"15,694"
366,AOO,ALTOONA-BLAIR COUNTY,ALTOONA,PA,"15,678"
367,FHR,FRIDAY HARBOR,FRIDAY HARBOR,WA,"15,585"
368,CIU,CHIPPEWA COUNTY INTL,SAULT STE MARIE,MI,"15,566"
369,MHK,MANHATTAN RGNL,MANHATTAN,KS,"15,490"
370,DUJ,DU BOIS-JEFFERSON COUNTY,DU BOIS,PA,"15,439"
371,YAK,YAKUTAT,YAKUTAT,AK,"15,358"
