site_number,state,runway_id,runway_length,runway_width,runway_surface_type_condition,runway_surface_treatment,pavement_class,edge_lights_intensity,base_end_id,base_end_true_alignment,base_end_ils_type,base_end_right_traffic_pattern,base_end_markings_type,base_end_markings_condition,base_end_physical_latitude,base_end_physical_latitude_s,base_end_physical_longitude,base_end_physical_longitude_s,base_end_physical_elevation,base_end_crossing_height,base_end_glide_path_angle,base_end_displaced_latitude,base_end_displaced_latitude_s,base_end_displaced_longitude,base_end_displaced_longitude_s,base_end_displaced_elevation,base_end_displaced_length,base_end_tdz_elevation,base_end_vasi,base_end_rvr,base_end_rvv,base_end_als,base_end_reil,base_end_centerline_lights,base_end_touchdown_lights,base_end_object_description,base_end_object_mark_light,base_end_part77_category,base_end_object_clear_slope,base_end_object_height,base_end_object_distance,base_end_object_offset,reciprocal_end_id,reciprocal_end_true_alignment,reciprocal_end_ils_type,reciprocal_end_right_traffic_pattern,reciprocal_end_markings_type,reciprocal_end_markings_condition,reciprocal_end_physical_latitude,reciprocal_end_physical_latitude_s,reciprocal_end_physical_longitude,reciprocal_end_physical_longitude_s,reciprocal_end_physical_elevation,reciprocal_end_crossing_height,reciprocal_end_glide_path_angle,reciprocal_end_displaced_latitude,reciprocal_end_displaced_latitude_s,reciprocal_end_displaced_longitude,reciprocal_end_displaced_longitude_s,reciprocal_end_displaced_elevation,reciprocal_end_displaced_length,reciprocal_end_tdz_elevation,reciprocal_end_vasi,reciprocal_end_rvr,reciprocal_end_rvv,reciprocal_end_als,reciprocal_end_reil,reciprocal_end_centerline_lights,reciprocal_end_touchdown_lights,reciprocal_end_object_description,reciprocal_end_object_mark_light,reciprocal_end_part77_category,reciprocal_end_object_clear_slope,reciprocal_end_object_height,reciprocal_end_object_distance,reciprocal_end_object_offset,runway_length_source,runway_length_source_date,runway_weight_bearing_capacity_sw,runway_weight_bearing_capacity_dw,runway_weight_bearing_capacity_dt,runway_weight_bearing_capacity_ddt,base_end_gradient,base_end_gradient_direction,base_end_position_source,base_end_position_source_date,base_end_elevation_source,base_end_elevation_source_date,base_end_displaced_threshold_position_source,base_end_displaced_threshold_position_source_date,base_end_displaced_threshold_elevation_source,base_end_displaced_threshold_elevation_source_date,base_end_touchdown_zone_elevation_source,base_end_touchdown_zone_elevation_source_date,base_end_take_off_run_available_tora,base_end_take_off_distance_available_toda,base_end_aclt_stop_distance_available_asda,base_end_landing_distance_available_lda,base_end_landing_distance_available_lahso,base_end_landing_distance_available_lahso_int_rwy_id,base_end_landing_distance_available_lahso_int_entity_desc,base_end_landing_distance_available_lahso_hld_pt_latitude,base_end_landing_distance_available_lahso_hld_pt_latitude_s,base_end_landing_distance_available_lahso_hld_pt_longitude,base_end_landing_distance_available_lahso_hld_pt_longitude_s,base_end_landing_distance_available_lahso_coord_src,base_end_landing_distance_available_lahso_coord_src_date,reciprocal_end_gradient,reciprocal_end_gradient_direction,reciprocal_end_position_source,reciprocal_end_position_source_date,reciprocal_end_elevation_source,reciprocal_end_elevation_source_date,reciprocal_end_displaced_threshold_position_source,reciprocal_end_displaced_threshold_position_source_date,reciprocal_end_displaced_threshold_elevation_source,reciprocal_end_displaced_threshold_elevation_source_date,reciprocal_end_touchdown_zone_elevation_source,reciprocal_end_touchdown_zone_elevation_source_date,reciprocal_end_take_off_run_available_tora,reciprocal_end_take_off_distance_available_toda,reciprocal_end_aclt_stop_distance_available_asda,reciprocal_end_landing_distance_available_lda,reciprocal_end_landing_distance_available_lahso,reciprocal_end_landing_distance_available_lahso_int_rwy_id,reciprocal_end_landing_distance_available_lahso_int_entity_desc,reciprocal_end_landing_distance_available_lahso_hld_pt_latitude,reciprocal_end_landing_distance_available_lahso_hld_pt_latitude_s,reciprocal_end_landing_distance_available_lahso_hld_pt_longitude,reciprocal_end_landing_distance_available_lahso_hld_pt_longitude_s,reciprocal_end_landing_distance_available_lahso_coord_src,reciprocal_end_landing_distance_available_lahso_coord_src_date
06659.5*A,KS,17/35,3229,44,ASPH-G,,,LOW,17,,,N,NRS,F,38-20-45.6000N,138045.6000N,097-12-49.1300W,349969.1300W,1434,39,3.75,,,,,,,1434,P4L,,,,,,,ROAD,,A(V),33,15,702,0B,35,,,N,NRS,F,38-20-13.7100N,138013.7100N,097-12-50.7500W,349970.7500W,1416,39,3.75,,,,,,,1434,P4L,,,,,,,TREES,,A(V),31,33,1228,0B,STATE,2002-10-10 00:00:00,,,,,,,FAA OE/AAA,2014-10-09 00:00:00,FAA OE/AAA,2014-10-09 00:00:00,,,,,FAA OE/AAA,2014-10-09 00:00:00,,,,,,,,,,,,,,,,FAA OE/AAA,2014-10-09 00:00:00,FAA OE/AAA,2014-10-09 00:00:00,,,,,FAA OE/AAA,2014-10-09 00:00:00,,,,,,,,,,,,,
06659.5*A,KS,H1,40,40,CONC-G,,,,H1,,,,BSC,G,,,,,,,,,,,,,,,,,,,,,,BLDG,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06669.*A,KS,15/33,1636,100,TURF-G,,,,15,,,N,,,,,,,,,,,,,,,,,,,,,,,,ROAD,,A(V),18,13,237,0B,33,,,N,,,,,,,,,,,,,,,,,,,,,,,,FENCE,M,A(V),3,4,15,0B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06669.*A,KS,17/35,2223,100,TURF-G,,,,17,,,N,,,,,,,,,,,,,,,,,,,,,,,,FENCE,M,A(V),1,5,5,0B,35,,,N,,,,,,,,,,,,,,,,,,,,,,,,BRUSH,,A(V),6,5,32,32R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06675.*A,KS,08/26,1750,150,TURF-F,,,,08,89,,,,,39-21-54.2186N,141714.2186N,100-26-28.2121W,361588.2121W,2725,,,,,,,,,,,,,,,,,ROAD,,A(V),10,17,180,0B,26,269,,,,,39-21-54.3830N,141714.3830N,100-26-05.9255W,361565.9255W,2700,,,,,,,,,,,,,,,,,FENCE,,A(V),0,4,0,0B,FAA-EST,2010-10-06 00:00:00,,,,,,,FAA-EST,2010-10-06 00:00:00,FAA-EST IMAGERY,2010-08-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,FAA-EST,2010-10-06 00:00:00,FAA-EST IMAGERY,2010-08-11 00:00:00,,,,,,,,,,,,,,,,,,,
06675.*A,KS,17/35,4400,50,ASPH-G,,,MED,17,,,,NRS,G,,,,,,,,,,,,,,,,,,,,,,TOWER,,A(V),29,60,1950,70L,35,,,,NRS,G,,,,,,,,,,,,,,,,,,,,,,TREES,,A(V),7,20,349,61L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06678.*A,KS,02/20,5000,75,CONC-F,,11 /R/C/X/U,HIGH,02,25,,N,NPI,G,37-09-19.9928N,133759.9928N,101-22-28.3565W,364948.3565W,3133.3,29,3,,,,,,,3133.4,P2L,,,,N,,,ROAD,,C,23,24,771,0B,20,205,,N,NPI,G,37-10-04.9192N,133804.9192N,101-22-02.5997W,364922.5997W,3129.6,29,3,,,,,,,3131.5,P2L,,,,N,,,ROAD,,C,33,15,700,0B,NGS,2006-04-16 00:00:00,30,,,,,,NGS,2006-04-16 00:00:00,NGS,2006-04-16 00:00:00,,,,,3RD PARTY SURVEY,2006-04-16 00:00:00,,,,,,,,,,,,,,,,NGS,2006-04-16 00:00:00,NGS,2006-04-16 00:00:00,,,,,3RD PARTY SURVEY,2006-04-16 00:00:00,,,,,,,,,,,,,
06678.*A,KS,13/31,2627,60,ASPH-G,,5 /F/C/Y/U,,13,135,,,BSC,G,37-10-05.1152N,133805.1152N,101-22-22.3778W,364942.3778W,3133.6,,,,,,,,,3133.6,,,,,,,,ROAD,,A(V),25,14,559,0B,31,315,,,BSC,G,37-09-46.7054N,133786.7054N,101-21-59.4938W,364919.4938W,3127.8,,,37-09-48.1194N,133788.1194N,101-22-01.2512W,364921.2512W,3128.6,202,3133.6,,,,,,,,TOWER,,A(V),0,10,201,0B,NGS,2006-04-16 00:00:00,,,,,,,NGS,2006-04-16 00:00:00,NGS,2006-04-16 00:00:00,,,,,3RD PARTY SURVEY,2006-04-15 00:00:00,,,,,,,,,,,,,,,,NGS,2006-04-16 00:00:00,NGS,2006-04-16 00:00:00,NGS,2006-04-16 00:00:00,NGS,2006-04-16 00:00:00,3RD PARTY SURVEY,2007-12-18 00:00:00,,,,,,,,,,,,,
06685.*A,KS,04/22,4405,100,ASPH-F,,,MED,04,42,,N,NPI,F,38-03-42.2398N,137022.2398N,097-51-35.7075W,352295.7075W,1516.5,44,3,,,,,,,1522.1,P4L,,,,Y,,,ROAD,L,C,12,16,400,0B,22,222,,N,NPI,F,38-04-14.3827N,137054.3827N,097-50-58.5484W,352258.5484W,1542.5,34,3.4,,,,,,,1542.5,V2L,,,,Y,,,GND,,C,27,83,2450,450L,3RD PARTY SURVEY,2017-10-31 00:00:00,42,52,76,,,,3RD PARTY SURVEY,2017-10-31 00:00:00,3RD PARTY SURVEY,2017-10-31 00:00:00,,,,,3RD PARTY SURVEY,2017-10-31 00:00:00,4401,4401,4401,4401,,,,,,,,,,,,3RD PARTY SURVEY,2017-10-31 00:00:00,3RD PARTY SURVEY,2017-10-31 00:00:00,,,,,3RD PARTY SURVEY,2017-10-31 00:00:00,4401,4401,4401,4401,,,,,,,,,
06685.*A,KS,13/31,7003,100,ASPH-E,,17 /F/D/X/T,HIGH,13,138,ILS,N,PIR,G,38-04-27.1459N,137067.1459N,097-52-15.8911W,352335.8911W,1524.9,,,,,,,,,1525.3,,T,Y,MALSR,,,,TREE,,PIR,48,96,4875,1000L,31,318,,N,NPI,G,38-03-35.4777N,137015.4777N,097-51-17.6150W,352277.6150W,1514.7,55,3,,,,,,,1520,V4L,R,,,Y,,,ROAD,,C,21,21,650,0B,3RD PARTY SURVEY,2017-10-31 00:00:00,44,58,103,,,,3RD PARTY SURVEY,2017-10-31 00:00:00,3RD PARTY SURVEY,2017-10-31 00:00:00,,,,,3RD PARTY SURVEY,2017-10-31 00:00:00,7003,7003,7003,7003,,,,,,,,,,,,3RD PARTY SURVEY,2017-10-31 00:00:00,3RD PARTY SURVEY,2017-10-31 00:00:00,,,,,3RD PARTY SURVEY,2017-10-31 00:00:00,7003,7003,7003,7003,,,,,,,,,
06685.*A,KS,17/35,4012,75,CONC-F,,14 /R/B/W/T,MED,17,177,,N,NPI,G,38-04-12.2858N,137052.2858N,097-51-45.9329W,352305.9329W,1523.3,40,3,,,,,,,1523.3,P4L,,,,,,,TREES,,B(V),29,125,3900,100L,35,357,,N,NPI,G,38-03-32.6705N,137012.6705N,097-51-43.5283W,352303.5283W,1517.8,42,3,,,,,,,1521,P4L,,,,,,,ROAD,L,B(V),5,16,290,0B,3RD PARTY SURVEY,2017-10-31 00:00:00,43.5,58.5,76,,,,3RD PARTY SURVEY,2017-10-31 00:00:00,3RD PARTY SURVEY,2017-10-31 00:00:00,,,,,3RD PARTY SURVEY,2017-10-31 00:00:00,4012,4012,4012,4012,,,,,,,,,,,,3RD PARTY SURVEY,2017-10-31 00:00:00,3RD PARTY SURVEY,2017-10-31 00:00:00,,,,,3RD PARTY SURVEY,2017-10-31 00:00:00,4012,4012,4012,4012,,,,,,,,,
06690.*A,KS,04/22,3402,60,ASPH-G,,12 /F/D/X/T,MED,04,45,,N,NPI,G,37-09-21.0720N,133761.0720N,095-47-12.8210W,344832.8210W,820.2,,,,,,,,,824.7,P4L,,,,,,,,,B(V),50,,,,22,225,,N,NPI,G,37-09-44.7360N,133784.7360N,095-46-42.9560W,344802.9560W,820.1,,,,,,,,,824.7,P4L,,,,,,,,,B(V),50,,,,3RD PARTY SURVEY,2009-10-22 00:00:00,32,43,,,,,STATE,2009-10-22 00:00:00,3RD PARTY SURVEY,2009-10-22 00:00:00,,,,,3RD PARTY SURVEY,2009-10-22 00:00:00,,,,,,,,,,,,,,,,STATE,2009-10-22 00:00:00,3RD PARTY SURVEY,2009-10-22 00:00:00,,,,,3RD PARTY SURVEY,2009-10-22 00:00:00,,,,,,,,,,,,,
06690.*A,KS,17/35,5501,100,ASPH-G,,15 /R/D/X/T,HIGH,17,180,,N,NPI,G,37-09-53.0274N,133793.0274N,095-46-35.5984W,344795.5984W,821.1,,,,,,,,,821.3,,,,,Y,,,TREES,,C,47,46,2405,B,35,0,ILS/DME,N,PIR,G,37-08-58.6376N,133738.6376N,095-46-35.9384W,344795.9384W,819.4,,,,,,,,,820.9,,,,MALSR,N,,,,,PIR,50,,,,3RD PARTY SURVEY,2009-10-22 00:00:00,44,56,,,,,3RD PARTY SURVEY,2009-10-22 00:00:00,3RD PARTY SURVEY,2009-10-22 00:00:00,,,,,3RD PARTY SURVEY,2009-10-22 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2009-10-22 00:00:00,3RD PARTY SURVEY,2009-10-22 00:00:00,,,,,3RD PARTY SURVEY,2009-10-22 00:00:00,,,,,,,,,,,,,
06690.5*A,KS,17/35,3000,75,CONC-P,,,,17,180,,N,NSTD,F,37-54-39.5681N,136479.5681N,100-31-53.0598W,361913.0598W,,,,,,,,,,,,,,,,,,,,A(V),50,,,,35,0,,N,NSTD,F,37-54-09.9030N,136449.9030N,100-31-53.1515W,361913.1515W,,,,,,,,,,,,,,,,,,POLE,,A(V),30,22,870,170L,,,21,,,,,,FAA-EST IMAGERY,2006-07-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2006-07-15 00:00:00,,,,,,,,,,,,,,,,,,,,,
06691.*A,KS,01/19,5501,100,CONC-G,,,HIGH,01,13,,,NPI,P,37-51-39.1372N,136299.1372N,095-23-20.9923W,343400.9923W,1004.9,55,3,,,,,,,1014,P4L,,,,N,,,TREES,,A(V),32,38,1420,235L,19,193,,,NPI,P,37-52-32.0368N,136352.0368N,095-23-05.0946W,343385.0946W,1015.6,52,3,,,,,,,1015.6,P4L,,,,N,,,TREES,,A(V),32,38,1430,B,3RD PARTY SURVEY,2009-11-12 00:00:00,,,,,,,3RD PARTY SURVEY,2009-11-12 00:00:00,3RD PARTY SURVEY,2009-11-12 00:00:00,,,,,3RD PARTY SURVEY,2009-11-12 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2009-11-12 00:00:00,3RD PARTY SURVEY,2009-11-12 00:00:00,,,,,3RD PARTY SURVEY,2009-11-12 00:00:00,,,,,,,,,,,,,
06692.*A,KS,17/35,4205,75,ASPH-CONC-G,,,LOW,17,181,,N,NPI,G,37-59-24.8130N,136764.8130N,099-53-39.1125W,359619.1125W,2463.4,,,,,,,,,2466.8,,,,,,,,,,A(V),50,,,,35,1,,N,NPI,G,37-58-43.2536N,136723.2536N,099-53-40.0588W,359620.0588W,2466.8,,,,,,,,,2467,,,,,,,,,,A(V),50,,,,3RD PARTY SURVEY,2011-01-29 00:00:00,15,,,,,,3RD PARTY SURVEY,2011-01-29 00:00:00,3RD PARTY SURVEY,2011-01-29 00:00:00,,,,,3RD PARTY SURVEY,2011-01-29 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2011-01-29 00:00:00,3RD PARTY SURVEY,2011-01-29 00:00:00,,,,,3RD PARTY SURVEY,2011-01-29 00:00:00,,,,,,,,,,,,,
06695.1*A,KS,08/26,1889,60,ASPH-G,,4 /R/C/Y/U,,08,90,,N,,,37-34-47.0483N,135287.0483N,101-44-00.5984W,366240.5984W,3324.1,,,,,,,,,3324.1,,,,,,,,,,A(V),50,,,,26,270,,N,,,37-34-46.9480N,135286.9480N,101-43-37.1318W,366217.1318W,3320.4,,,,,,,,,3324.1,,,,,,,,,,A(V),50,,,,3RD PARTY SURVEY,2009-09-10 00:00:00,3,,,,,,3RD PARTY SURVEY,2009-09-10 00:00:00,3RD PARTY SURVEY,2009-09-10 00:00:00,,,,,3RD PARTY SURVEY,2009-09-10 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2009-09-10 00:00:00,3RD PARTY SURVEY,2009-09-10 00:00:00,,,,,3RD PARTY SURVEY,2009-09-10 00:00:00,,,,,,,,,,,,,
06695.1*A,KS,17/35,5200,75,CONC-E,,11 /R/C/X/U,MED,17,180,,N,NPI,G,37-35-40.5162N,135340.5162N,101-43-59.3418W,366239.3418W,3324,40,3,,,,,,,3324,P4L,,,,N,,,,,C,50,,,,35,0,,N,NPI,G,37-34-49.1210N,135289.1210N,101-43-58.6385W,366238.6385W,3325.3,40,3,,,,,,,3325.4,P4L,,,,N,,,,,C,50,,,,3RD PARTY SURVEY,2009-09-10 00:00:00,34,46,,,,,3RD PARTY SURVEY,2009-09-10 00:00:00,3RD PARTY SURVEY,2009-09-10 00:00:00,,,,,3RD PARTY SURVEY,2009-09-10 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2009-09-10 00:00:00,3RD PARTY SURVEY,2009-09-10 00:00:00,,,,,3RD PARTY SURVEY,2009-09-10 00:00:00,,,,,,,,,,,,,
06697.*A,KS,05/23,1834,200,TURF-G,,,,05,57,,N,,,39-02-29.0349N,140549.0349N,096-50-41.5455W,348641.5455W,1097.4,,,,,,,,,1097.4,,,,,,,,TREES,,A(V),20,44,873,0B,23,237,,N,,,39-02-39.0853N,140559.0853N,096-50-22.2056W,348622.2056W,1088.1,,,,,,,,,1097.4,,,,,,,,POLE,,A(V),10,37,396,125L,3RD PARTY SURVEY,2010-12-01 00:00:00,,,,,,,3RD PARTY SURVEY,2010-12-01 00:00:00,3RD PARTY SURVEY,2010-12-01 00:00:00,,,,,3RD PARTY SURVEY,2010-12-01 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2010-12-01 00:00:00,3RD PARTY SURVEY,2010-12-01 00:00:00,,,,,3RD PARTY SURVEY,2010-12-01 00:00:00,,,,,,,,,,,,,
06697.*A,KS,13/31,1903,140,TURF-G,,,,13,140,,N,,,39-02-37.5343N,140557.5343N,096-50-39.0275W,348639.0275W,1093.5,,,,,,,,,1094.1,,,,,,,,TREES,,A(V),14,36,518,0B,31,320,,N,,,39-02-23.1258N,140543.1258N,096-50-23.5288W,348623.5288W,1094.1,,,,,,,,,1094.1,,,,,,,,TREES,,A(V),25,55,1410,0B,3RD PARTY SURVEY,2010-12-01 00:00:00,,,,,,,3RD PARTY SURVEY,2010-12-01 00:00:00,3RD PARTY SURVEY,2010-12-01 00:00:00,,,,,3RD PARTY SURVEY,2010-12-01 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2010-12-01 00:00:00,3RD PARTY SURVEY,2010-12-01 00:00:00,,,,,3RD PARTY SURVEY,2010-12-01 00:00:00,,,,,,,,,,,,,
06697.*A,KS,18/36,3498,75,ASPH-F,,5 /F/C/Y/U,MED,18,194,,N,BSC,F,39-02-56.8357N,140576.8357N,096-50-35.0879W,348635.0879W,1086.2,43,3,,,,,,,1099.1,P2L,,,,,,,POLE,L,A(V),26,14,565,19R,36,14,,N,NPI,F,39-02-23.2412N,140543.2412N,096-50-45.5524W,348645.5524W,1101.6,43,3.5,,,,,,,1101.6,P2L,,,,,,,POLE,L,A(NP),26,30,988,10L,3RD PARTY SURVEY,2010-12-01 00:00:00,10,,,,,,3RD PARTY SURVEY,2010-12-01 00:00:00,3RD PARTY SURVEY,2010-12-01 00:00:00,,,,,3RD PARTY SURVEY,2010-12-01 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2010-12-01 00:00:00,3RD PARTY SURVEY,2010-12-01 00:00:00,,,,,3RD PARTY SURVEY,2010-12-01 00:00:00,,,,,,,,,,,,,
06706.*A,KS,11/29,3400,60,CONC-G,,11 /R/C/X/U,,11,117,,,NPI,G,37-40-20.2011N,135620.2011N,098-07-51.8445W,353271.8445W,1606.7,,,,,,,,,1606.7,,,,,,,,TREES,,A(V),39,29,1350,B,29,297,,Y,NPI,G,37-40-05.2596N,135605.2596N,098-07-13.9679W,353233.9679W,1592.6,,,,,,,,,1606.2,,,,,,,,PLINE,M,A(V),25,30,978,0B,3RD PARTY SURVEY,2012-05-21 00:00:00,30,30,,,,,3RD PARTY SURVEY,2012-05-21 00:00:00,3RD PARTY SURVEY,2012-05-21 00:00:00,,,,,3RD PARTY SURVEY,2012-05-21 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2012-05-21 00:00:00,3RD PARTY SURVEY,2012-05-21 00:00:00,,,,,3RD PARTY SURVEY,2012-05-21 00:00:00,,,,,,,,,,,,,
06706.*A,KS,18/36,4300,75,CONC-F,,11 /R/C/X/U,HIGH,18,188,,Y,NPI,G,37-40-26.1214N,135626.1214N,098-07-16.7576W,353236.7576W,1598.9,36,3,,,,,,,1598.9,P4L,,,,Y,,,ROAD,,A(NP),24,15,550,0B,36,8,,N,NPI,G,37-39-44.0410N,135584.0410N,098-07-24.3626W,353244.3626W,1596.7,36,3,,,,,,,1596.7,P4L,,,,Y,,,TREES,,A(NP),24,45,1290,0B,3RD PARTY SURVEY,2012-05-21 00:00:00,30,30,,,,,3RD PARTY SURVEY,2012-05-21 00:00:00,3RD PARTY SURVEY,2012-05-21 00:00:00,,,,,3RD PARTY SURVEY,2012-05-21 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2012-05-21 00:00:00,3RD PARTY SURVEY,2012-05-21 00:00:00,,,,,3RD PARTY SURVEY,2012-05-21 00:00:00,,,,,,,,,,,,,
06710.*A,KS,18/36,3290,56,ASPH-G,,,LOW,18,187,,N,BSC,F,37-54-48.5340N,136488.5340N,099-24-08.7210W,357848.7210W,2167.5,,,,,,,,,2170.9,,,,,,,,TREES,,A(V),33,45,1700,0B,36,7,,N,BSC,G,37-54-16.2220N,136456.2220N,099-24-13.6470W,357853.6470W,2171.1,,,,,,,,,2171.1,,,,,,,,,,A(V),50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06712.2*A,KS,03/21,2525,50,TURF-F,,,,03,,,,NONE,,37-02-32.1400N,133352.1400N,098-34-21.1700W,354861.1700W,1367,,,37-02-34.0000N,133354.0000N,098-34-19.6500W,354859.6500W,1367,225,,,,,,,,,TREES,,A(V),10,45,225,B,21,,,,NONE,,37-02-53.0400N,133373.0400N,098-34-04.1300W,354844.1300W,1387,,,37-02-51.5900N,133371.5900N,098-34-05.3100W,354845.3100W,1376,175,,,,,,,,,ROAD,,A(V),13,21,100,B,FAA,2014-11-21 00:00:00,,,,,,,FAA,2014-11-21 00:00:00,FAA,2014-11-21 00:00:00,FAA,2014-11-21 00:00:00,FAA,2014-11-21 00:00:00,,,,,,,,,,,,,,,,,,FAA,2014-11-21 00:00:00,FAA,2014-11-21 00:00:00,FAA,2014-11-21 00:00:00,FAA,2014-11-21 00:00:00,,,,,,,,,,,,,,,
06713.11*A,KS,17/35,3200,50,ASPH-E,,,MED,17,179,,N,BSC,F,38-33-04.3900N,138784.3900N,099-17-23.4100W,357443.4100W,2076,,,,,,,,,,,,,,,,,ROAD,,A(V),30,15,650,0B,35,359,,N,BSC,F,38-32-32.7600N,138752.7600N,099-17-22.7800W,357442.7800W,2052,,,,,,,,,,,,,,,,,TREES,,A(V),33,50,1865,200L,,,12,16,,,,,FAA-EST IMAGERY,2016-10-05 00:00:00,FAA OE/AAA,2016-10-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2016-10-05 00:00:00,FAA OE/AAA,2016-10-05 00:00:00,,,,,,,,,,,,,,,,,,,
06715.*A,KS,02/20,2579,90,TURF-P,,,,02,,,N,,,37-58-01.0595N,136681.0595N,101-15-20.9077W,364520.9077W,3060.7,,,,,,,,,3061.7,,,,,,,,,,A(V),50,,,,20,,,N,,,37-58-22.0736N,136702.0736N,101-15-02.6752W,364502.6752W,3051.3,,,,,,,,,3061.7,,,,,,,,PLINE,,A(V),13,32,420,100L,3RD PARTY SURVEY,2009-12-09 00:00:00,,,,,,,3RD PARTY SURVEY,2009-12-09 00:00:00,3RD PARTY SURVEY,2009-12-09 00:00:00,,,,,3RD PARTY SURVEY,2009-12-09 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2009-12-09 00:00:00,3RD PARTY SURVEY,2009-12-09 00:00:00,,,,,3RD PARTY SURVEY,2009-12-09 00:00:00,,,,,,,,,,,,,
06715.*A,KS,14/32,3410,40,ASPH-G,,5 /F/C/Y/U,MED,14,,,N,NSTD,F,37-58-23.7918N,136703.7918N,101-15-36.1016W,364536.1016W,3076.4,,,,,,,,,3076.4,,,,,,,,ROAD,,A(V),50,,,,32,,,N,NSTD,F,37-57-53.7535N,136673.7535N,101-15-16.7800W,364516.7800W,3053.9,,,,,,,,,3074.3,,,,,,,,ROAD,,A(V),5,10,250,0B,3RD PARTY SURVEY,2009-12-09 00:00:00,,,,,,,3RD PARTY SURVEY,2009-12-09 00:00:00,3RD PARTY SURVEY,2009-12-09 00:00:00,,,,,3RD PARTY SURVEY,2009-12-09 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2009-12-09 00:00:00,3RD PARTY SURVEY,2009-12-09 00:00:00,,,,,3RD PARTY SURVEY,2009-12-09 00:00:00,,,,,,,,,,,,,
06719.*A,KS,04/22,2860,170,TURF-G,,,,04,45,,N,,,38-12-15.8100N,137535.8100N,099-05-23.5200W,356723.5200W,2009.6,,,,,,,,,2009.6,,,,,,,,ROAD,,A(V),16,15,250,0B,22,225,,N,,,38-12-35.7700N,137555.7700N,099-04-58.1500W,356698.1500W,2008,,,,,,,,,2009.6,,,,,,,,TOWER,L,A(V),23,300,7000,0,ADO,2018-05-08 00:00:00,,,,,,,ADO,2018-05-08 00:00:00,ADO,2018-05-08 00:00:00,,,,,ADO,2018-05-08 00:00:00,,,,,,,,,,,,,,,,ADO,2018-05-08 00:00:00,ADO,2018-05-08 00:00:00,,,,,ADO,2018-05-08 00:00:00,,,,,,,,,,,,,
06719.*A,KS,12/30,2830,180,TURF-G,,,,12,135,,N,,,38-12-35.3500N,137555.3500N,099-05-24.6000W,356724.6000W,2006.6,,,,,,,,,2006.6,,,,,,,,FENCE,,A(V),16,6,100,0B,30,315,,N,,,38-12-15.4700N,137535.4700N,099-04-59.6500W,356699.6500W,2006.4,,,,,,,,,2006.6,,,,,,,,ROAD,,A(V),18,11,200,0B,ADO,2018-05-08 00:00:00,,,,,,,ADO,2018-05-08 00:00:00,ADO,2018-05-08 00:00:00,,,,,ADO,2018-05-08 00:00:00,,,,,,,,,,,,,,,,ADO,2018-05-08 00:00:00,ADO,2018-05-08 00:00:00,,,,,ADO,2018-05-08 00:00:00,,,,,,,,,,,,,
06719.*A,KS,17/35,4201,75,CONC-G,,7 /R/C/X/U,MED,17,180,,N,NPI,G,38-12-59.0176N,137579.0176N,099-05-06.3668W,356706.3668W,2010.5,40,3,,,,,,,2012,P2L,,,,Y,,,TREES,,C,23,34,980,235L,35,360,,N,NPI,G,38-12-17.4884N,137537.4884N,099-05-06.2932W,356706.2932W,2012.1,36,3,,,,,,,2012.1,P2L,,,,Y,,,ROAD,,C,22,14,520,0B,3RD PARTY SURVEY,2008-11-10 00:00:00,12.5,12.5,,,,,3RD PARTY SURVEY,2008-11-10 00:00:00,ADO,2018-09-20 00:00:00,,,,,ADO,2018-09-20 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2008-11-10 00:00:00,ADO,2018-09-20 00:00:00,,,,,ADO,2018-09-20 00:00:00,,,,,,,,,,,,,
