Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 17 Enplanements,CY 16 Enplanements,% Change
314,NM,WY,GCC,Gillette,Gillette-Campbell County,P,N,29271,28383,0.0313
315,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,29038,25510,0.1383
316,AL,AK,DLG,Dillingham,Dillingham,P,N,28895,33616,-0.1404
317,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,28669,27911,0.0272
318,NM,MT,BTM,Butte,Bert Mooney,P,N,27703,25890,0.07
319,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,27635,26529,0.0417
320,SW,OK,SWO,Stillwater,Stillwater Regional,P,N,27370,10362,1.6414
321,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,27358,27069,0.0107
323,CE,KS,GCK,Garden City,Garden City Regional,P,N,26687,26825,-0.0051
324,SO,PR,CPX,Culebra,Benjamin Rivera Noriega,P,N,26556,31141,-0.1472
325,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,26220,30956,-0.153
326,EA,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,P,N,25584,27274,-0.062
327,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,25105,26025,-0.0354
328,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,24843,25439,-0.0234
329,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,24527,40120,-0.3887
330,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,23961,25497,-0.0602
331,SO,MS,MEI,Meridian,Key Field,P,N,23923,26359,-0.0924
332,SW,TX,BPT,Beaumont,Jack Brooks Regional,P,N,23767,26518,-0.1037
334,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,P,N,23014,20414,0.1274
335,EA,NY,OGS,Ogdensburg,Ogdensburg International,P,N,22957,10281,1.233
336,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,22915,21896,0.0465
337,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,22822,21304,0.0713
338,EA,NY,ART,Watertown,Watertown International,P,N,22785,17312,0.3161
339,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,22261,20974,0.0614
341,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,21383,18328,0.1667
342,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,P,N,21352,21826,-0.0217
343,WP,AZ,PGA,Page,Page Municipal,P,N,21347,17435,0.2244
345,WP,MP,GRO,Northern Islands (Municipality),Benjamin Taisacan Manglona International,P,N,21214,19178,0.1062
346,GL,MN,STC,St. Cloud,St. Cloud Regional,P,N,20918,15615,0.3396
347,SO,KY,PAH,Paducah,Barkley Regional,P,N,20910,20266,0.0318
348,AL,AK,LHD,Anchorage,Lake Hood,P,N,20689,23382,-0.1152
349,NM,UT,OGD,Ogden,Ogden-Hinckley,P,N,20324,15609,0.3021
350,SO,KY,OWB,Owensboro,Owensboro-Daviess County Regional,P,N,19578,23537,-0.1682
352,SW,TX,GGG,Longview,East Texas Regional,P,N,19261,22480,-0.1432
353,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,P,N,18963,16822,0.1273
354,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,18361,24054,-0.2367
355,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,18323,19320,-0.0516
356,AL,AK,MRI,Anchorage,Merrill Field,P,N,18298,19144,-0.0442
357,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,18280,18649,-0.0198
359,NM,WY,RKS,Rock Springs,Rock Springs-Sweetwater County,P,N,18109,16110,0.1241
360,GL,MI,IMT,Iron Mountain,Ford,P,N,17707,12604,0.4049
361,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,17294,17795,-0.0282
362,WP,NV,EKO,Elko,Elko Regional,P,N,17115,14893,0.1492
363,NE,RI,WST,Westerly,Westerly State,P,N,17021,17218,-0.0114
364,GL,MI,MKG,Muskegon,Muskegon County,P,N,17007,18165,-0.0637
365,GL,MI,ESC,Escanaba,Delta County,P,N,16781,16822,-0.0024
366,SW,NM,HOB,Hobbs,Lea County Regional,P,N,16216,14707,0.1026
367,AL,AK,UNK,Unalakleet,Unalakleet,P,N,16111,16948,-0.0494
368,NE,ME,RKD,Rockland,Knox County Regional,P,N,16092,16206,-0.007
369,NM,WY,LAR,Laramie,Laramie Regional,P,N,16072,15957,0.0072
