Rank,FAA Region,ST,Locid,City,Airport Name,Service Level,Hub,CY 14 Enplanements,CY 13 Enplanements,% Change
264,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,61400,57165,0.0741
265,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,60547,60020,0.0088
266,NM,UT,SGU,St. George,St George Municipal,P,N,59321,54574,0.087
267,SO,SC,FLO,Florence,Florence Regional,P,N,59314,59894,-0.0097
268,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,P,N,58987,34980,0.6863
269,AL,AK,OME,Nome,Nome,P,N,58610,58020,0.0102
270,NE,MA,ORH,Worcester,Worcester Regional,P,N,57818,8007,6.2209
272,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,57076,54308,0.051
273,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,56995,51568,0.1052
274,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,56589,52051,0.0872
275,AL,AK,SCC,Deadhorse,Deadhorse,P,N,56001,48588,0.1526
276,CE,MO,COU,Columbia,Columbia Regional,P,N,55556,45714,0.2153
277,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,55156,49479,0.1147
278,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,54712,58348,-0.0623
279,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,54147,55526,-0.0248
280,NE,MA,MVY,Vineyard Haven,Martha's Vineyard,P,N,52362,56313,-0.0702
281,WP,HI,LNY,Lanai City,Lanai,P,N,51918,47323,0.0971
282,WP,CA,ACV,Arcata,Arcata,P,N,51688,56682,-0.0881
284,SO,GA,CSG,Columbus,Columbus,P,N,50883,59675,-0.1473
285,SO,AL,DHN,Dothan,Dothan Regional,P,N,50309,48423,0.0389
286,WP,CA,CRQ,Carlsbad,McClellan-Palomar,P,N,50056,51978,-0.037
287,GL,OH,LCK,Columbus,Rickenbacker International,P,N,49486,17765,1.7856
288,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,46906,45298,0.0355
290,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,46454,51395,-0.0961
291,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,P,N,45708,22540,1.0279
292,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,42873,17733,1.4177
293,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,42294,40759,0.0377
294,GL,MI,SAW,Gwinn,Sawyer International,P,N,41681,42335,-0.0154
295,AL,AK,DLG,Dillingham,Dillingham,P,N,39414,26632,0.4799
296,AL,AK,HOM,Homer,Homer,P,N,38862,37705,0.0307
297,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,38664,41140,-0.0602
298,SW,TX,BPT,Beaumont,Jack Brooks Regional,P,N,38213,35790,0.0677
299,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,37519,28909,0.2978
300,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,37229,32882,0.1322
301,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,36373,33072,0.0998
302,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,35983,33465,0.0752
303,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,35636,36814,-0.032
304,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,35356,32616,0.084
305,AL,AK,AKN,King Salmon,King Salmon,P,N,35012,35450,-0.0124
307,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,33625,37434,-0.1018
309,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,32579,32450,0.004
310,NM,WY,COD,Cody,Yellowstone Regional,P,N,32317,31140,0.0378
311,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,31743,30780,0.0313
312,CE,IA,SUX,Sioux City,Sioux Gateway/Col Bud Day Field,P,N,31675,25313,0.2513
313,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,31260,31276,-0.0005
315,GL,MN,STC,St. Cloud,St. Cloud Regional,P,N,30939,15842,0.953
316,SO,PR,CPX,Culebra,Benjamin Rivera Noriega,P,N,30788,5703,4.3986
317,SO,NC,JQF,Concord,Concord Regional,P,N,30286,12183,1.4859
320,NM,MT,BTM,Butte,Bert Mooney,P,N,29738,29490,0.0084
321,AL,AK,DUT,Unalaska,Unalaska,P,N,29370,28556,0.0285
322,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,28678,28601,0.0027
323,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,28168,27281,0.0325
