Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY2007 Enplanements,CY 2006 Enplanements,% Change
113.0,SW,AR,XNA,Cave Springs,Northwest Arkansas Regional,P,S,574056.0,567341.0,0.0118
114.0,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,566076.0,458058.0,0.2358
115.0,GL,MI,FNT,Flint,Bishop International,P,S,532621.0,532680.0,-0.0001
116.0,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,530417.0,516095.0,0.0278
117.0,SO,KY,LEX,Lexington,Blue Grass,P,S,520760.0,504787.0,0.0316
118.0,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,S,513381.0,513367.0,0.0
119.0,SW,TX,MAF,Midland,Midland International,P,S,491847.0,473986.0,0.0377
120.0,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,S,482253.0,526998.0,-0.0849
121.0,GL,IL,MLI,Moline,Quad City International,P,S,481595.0,453554.0,0.0618
122.0,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,S,462416.0,403771.0,0.1452
123.0,SO,FL,TLH,Tallahassee,Tallahassee Regional,P,S,462233.0,492826.0,-0.0621
124.0,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,S,458228.0,446926.0,0.0253
125.0,EA,NY,SWF,Newburgh,Stewart International,P,S,455045.0,156638.0,1.9051
126.0,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,449076.0,424816.0,0.0571
127.0,SW,TX,HRL,Harlingen,Valley International,P,S,442838.0,431365.0,0.0266
128.0,GL,WI,GRB,Green Bay,Austin Straubel International,P,S,440176.0,443866.0,-0.0083
129.0,CE,MO,SGF,Springfield,Springfield-Branson National,P,S,433232.0,428249.0,0.0116
130.0,WP,MP,GSN,Saipan,Francisco C. Ada/Saipan International,P,S,433090.0,484077.0,-0.1053
131.0,NM,MT,BIL,Billings,Billings Logan International,P,S,427389.0,403645.0,0.0588
132.0,EA,PA,ABE,Allentown,Lehigh Valley International,P,S,426687.0,397603.0,0.0731
