Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY2007 Enplanements,CY 2006 Enplanements,% Change
9.0,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,20767144.0,20479291.0,0.0141
44.0,SW,TX,HOU,Houston,William P Hobby,P,M,4239375.0,4115021.0,0.0302
45.0,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,4181956.0,3945020.0,0.0601
47.0,SW,TX,DAL,Dallas,Dallas Love Field,P,M,3988199.0,3443537.0,0.1582
49.0,SW,TX,SAT,San Antonio,San Antonio International,P,M,3911726.0,3915428.0,-0.0009
73.0,SW,TX,ELP,El Paso,El Paso International,P,S,1669792.0,1658102.0,0.0071
112.0,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,577587.0,564799.0,0.0226
119.0,SW,TX,MAF,Midland,Midland International,P,S,491847.0,473986.0,0.0377
124.0,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,S,458228.0,446926.0,0.0253
127.0,SW,TX,HRL,Harlingen,Valley International,P,S,442838.0,431365.0,0.0266
133.0,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,S,422391.0,429394.0,-0.0163
135.0,SW,TX,MFE,McAllen,McAllen Miller International,P,S,413693.0,396157.0,0.0443
172.0,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,216129.0,209236.0,0.0329
212.0,SW,TX,LRD,Laredo,Laredo International,P,N,113974.0,97331.0,0.171
225.0,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,91258.0,90580.0,0.0075
226.0,SW,TX,CLL,College Station,Easterwood Field,P,N,90895.0,85754.0,0.06
227.0,SW,TX,ABI,Abilene,Abilene Regional,P,N,90369.0,90918.0,-0.006
234.0,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,78482.0,79076.0,-0.0075
237.0,SW,TX,ACT,Waco,Waco Regional,P,N,76410.0,74235.0,0.0293
242.0,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,71008.0,68236.0,0.0406
272.0,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,45948.0,46526.0,-0.0124
294.0,SW,TX,BPT,Beaumont/Port Arthur,Southeast Texas Regional,P,N,34806.0,38626.0,-0.0989
319.0,SW,TX,GGG,Longview,East Texas Regional,P,N,26333.0,25353.0,0.0387
345.0,SW,TX,DRT,Del Rio,Del Rio International,P,N,17651.0,16967.0,0.0403
384.0,SW,TX,BIF,Fort Bliss/El Paso/,Biggs AAF (Fort Bliss),GA,None,12382.0,20310.0,-0.3903
402.0,SW,TX,LBX,Angleton,Brazoria County,GA,None,10925.0,10724.0,0.0187
409.0,SW,TX,VCT,Victoria,Victoria Regional,P,N,10138.0,9113.0,0.1125
412.0,SW,TX,GLS,Galveston,Scholes International at Galveston,GA,None,9707.0,35.0,276.3429
613.0,SW,TX,EFD,Houston,Ellington Field,GA,None,2003.0,1727.0,0.1598
658.0,SW,TX,SKF,San Antonio,Lackland AFB (Kelly Field Annex),GA,None,1462.0,1797.0,-0.1864
667.0,SW,TX,DYS,Abilene,Dyess AFB,GA,None,1334.0,836.0,0.5957
668.0,SW,TX,AFW,Fort Worth,Fort Worth Alliance,GA,None,1297.0,1282.0,0.0117
724.0,SW,TX,ADS,Dallas,Addison,GA,None,776.0,772.0,0.0052
751.0,SW,TX,RKP,Rockport,Aransas County,GA,None,617.0,13.0,46.4615
802.0,SW,TX,07TA,Danbury,Salaika Aviation,GA,None,400.0,400.0,0.0
848.0,SW,TX,FTW,Fort Worth,Fort Worth Meacham International,GA,None,264.0,1187.0,-0.7776
898.0,SW,TX,SGR,Houston,Sugar Land Regional,GA,None,167.0,343.0,-0.5131
901.0,SW,TX,E38,Alpine,Alpine-Casparis Municipal,GA,None,163.0,144.0,0.1319
970.0,SW,TX,E41,Big Lake,Reagan County,GA,None,100.0,40.0,1.5
