CY 02 Rank,RO,State,Locid,Airport Name,City,Svc Lvl,Hub,CY 2002 Boardings,CY 2001 Boardings,% Change
1005.0,AL,AK,TKA,Talkeetna,Talkeetna,GA,None,93.0,1218.0,-0.9236
1006.0,AL,AK,UTO,Indian Mountain LRRS,Utopia Creek,GA,None,93.0,125.0,-0.256
1007.0,AL,AK,KPB,Point Baker,Point Baker,GA,None,92.0,72.0,0.2778
1008.0,SO,KY,LOU,Bowman Field,Louisville,GA,None,92.0,68.0,0.3529
1009.0,GL,MN,FKA,Fillmore County,Preston,GA,None,91.0,0.0,0.0
1010.0,GL,IN,JVY,Clark County,Jeffersonville,GA,None,91.0,1143.0,-0.9204
1011.0,GL,MN,VVV,"Ortonville Municipal - 
Martinson Field",Ortonville,GA,None,91.0,0.0,0.0
1012.0,SO,FL,MTH,The Florida Keys Marathon,Marathon,GA,None,90.0,182.0,-0.5055
1013.0,GL,MN,MKT,Mankato Regional,Mankato,GA,None,89.0,104.0,-0.1442
1014.0,GL,IN,PPO,La Porte Municipal,La Porte,GA,None,89.0,0.0,0.0
1017.0,CE,NE,VTN,Miller Field,Valentine,GA,None,88.0,0.0,0.0
1015.0,NM,CO,AKO,Colorado Plains Regional,Akron,GA,None,88.0,143.0,-0.3846
1016.0,NM,WA,PAE,Snohomish County (Paine Field),Everett,GA,None,88.0,71.0,0.2394
1018.0,NM,WA,78WA,Center Island,Center Island,GA,None,86.0,105.0,-0.181
1020.0,SO,GA,RYY,Cobb County - McCollum Field,Marietta,GA,None,86.0,79.0,0.0886
1019.0,WP,HI,BKH,"Barking Sands 
Pacific Missile Range Facility","Kekaha,Kauai",GA,None,86.0,58.0,0.4828
1021.0,WP,CA,SAC,Sacramento Executive,Sacramento,GA,None,86.0,449.0,-0.8085
1022.0,AL,AK,KPC,Port Clarence CGS,Port Clarence,GA,None,85.0,116.0,-0.2672
1024.0,AL,AK,TLJ,Tatalina LRRS,Takotna,GA,None,85.0,95.0,-0.1053
1023.0,GL,WI,MFI,Marshfield Municipal,Marshfield,GA,None,85.0,62.0,0.371
1025.0,AL,AK,84K,Meyers Chuck,Meyers Chuck,GA,None,84.0,137.0,-0.3869
1026.0,EA,NY,GTB,Wheeler - Sack AAF,Fort Drum,GA,None,84.0,0.0,0.0
1028.0,EA,NY,IAG,Niagara Falls International,Niagara Falls,GA,None,83.0,2115.0,-0.9608
1029.0,EA,PA,Q08,Smoketown,Smoketown,GA,None,83.0,28.0,1.9643
1027.0,GL,IN,HUF,"Terre Haute International - 
Hulman Field",Terre Haute,GA,None,83.0,560.0,-0.8518
1030.0,NE,NH,CON,Concord Municipal,Concord,GA,None,81.0,51.0,0.5882
1031.0,AL,AK,4AK8,Tetlin,Tetlin,GA,None,80.0,703.0,-0.8862
1032.0,SO,SC,DYB,Summerville,Summerville,GA,None,80.0,125.0,-0.36
1033.0,NM,OR,AST,Astoria Regional,Astoria,GA,None,79.0,1026.0,-0.923
1034.0,NE,RI,UUU,Newport State,Newport,GA,None,78.0,144.0,-0.4583
1035.0,GL,MI,JXN,Jackson County - Reynolds Field,Jackson,GA,None,77.0,56.0,0.375
1036.0,CE,NE,BBW,Broken Bow Municipal,Broken Bow,GA,None,75.0,3.0,24.0
1037.0,CE,NE,LCG,Wayne Municipal,Wayne,GA,None,75.0,100.0,-0.25
1038.0,NM,CO,RIL,Garfield County Regional,Rifle,GA,None,75.0,73.0,0.0274
1039.0,SO,NC,VUJ,Stanly County,Albemarle,GA,None,75.0,0.0,0.0
1041.0,AL,AK,EHM,Cape Newenham LRRS,Cape Newenham,GA,None,74.0,208.0,-0.6442
1040.0,GL,IL,BLV,Scott AFB / Midamerica,Belleville,GA,None,74.0,24764.0,-0.997
1043.0,GL,WI,ISW,"Alexander Field 
South Wood County",Wisconsin Rapids,GA,None,73.0,30.0,1.4333
1044.0,NM,WA,S10,Chelan Municipal,Chelan,GA,None,73.0,14.0,4.2143
1042.0,WP,NV,CXP,Carson,Carson City,GA,None,73.0,17.0,3.2941
1046.0,EA,WV,MRB,"Eastern WV Regional / 
Shepherd Field",Martinsburg,GA,None,72.0,4.0,17.0
1047.0,GL,ND,RUG,Rugby Municipal,Rugby,GA,None,72.0,0.0,0.0
1045.0,SO,NC,ISO,"Kinston Regional Jetport 
at Stallings Field",Kinston,GA,None,72.0,1748.0,-0.9588
1048.0,GL,MI,0D1,South Haven Area Regional,South Haven,GA,None,71.0,14.0,4.0714
1049.0,GL,OH,TDZ,Metcalf Field,Toledo,GA,None,71.0,136.0,-0.4779
1050.0,GL,WI,HYR,Sawyer County,Hayward,GA,None,70.0,5.0,13.0
1051.0,WP,HI,PAK,Port Allen,Hanapepe,GA,None,69.0,0.0,0.0
1052.0,AL,AK,19P,Port Protection,Port Protection,GA,None,68.0,83.0,-0.1807
1053.0,GL,WI,MTW,Manitowoc County,Manitowoc,GA,None,68.0,40.0,0.7
1056.0,EA,VA,VA55,Summit,Roanoke,GA,None,67.0,0.0,0.0
1054.0,GL,MI,BEH,Southwest Michigan Regional,Benton Harbor,GA,None,67.0,66.0,0.0152
1055.0,GL,MI,BIV,Tulip City,Holland,GA,None,67.0,4832.0,-0.9861
1057.0,GL,OH,MGY,Dayton - Wright Brothers,Dayton,GA,None,66.0,96.0,-0.3125
1058.0,GL,IN,OKK,Kokomo Municipal,Kokomo,GA,None,65.0,71.0,-0.0845
1059.0,NE,ME,MVM,Machias Valley,Machias,GA,None,62.0,0.0,0.0
1062.0,AL,AK,96Z,North Whale,North Whale Pass,GA,None,60.0,0.0,0.0
1061.0,GL,OH,3W9,Middle Bass - East Point,Middle Bass,GA,None,60.0,1811.0,-0.9669
1060.0,NM,OR,17S,Chehalem Airpark,Newberg,GA,None,60.0,2.0,29.0
1063.0,SW,NM,ONM,Socorro Municipal,Socorro,GA,None,60.0,9.0,5.6667
1064.0,GL,MN,AEL,Albert Lea Municipal,Albert Lea,GA,None,59.0,65.0,-0.0923
1066.0,CE,KS,IDP,Independence Municipal,Independence,GA,None,58.0,5.0,10.6
1065.0,SW,TX,HBV,Jim Hogg County,Hebbronville,GA,None,58.0,0.0,0.0
1068.0,AL,AK,MLY,Manley Hot Springs,Manley Hot Springs,GA,None,57.0,97.0,-0.4124
1067.0,GL,SD,9D1,Gregory Municipal,Gregory,GA,None,57.0,39.0,0.4615
1070.0,NM,OR,S33,City - County,Madras,GA,None,55.0,9.0,5.1111
1071.0,NM,WA,WA18,Decatur /Jones/,Decatur Island,GA,None,55.0,603.0,-0.9088
1069.0,SO,AL,DCU,Pryor Field Regional,Decatur,GA,None,55.0,88.0,-0.375
1072.0,GL,OH,1G3,Kent State University,Stow,GA,None,54.0,5.0,9.8
1073.0,SW,AR,FCY,Forrest City Municipal,Forrest City,GA,None,54.0,0.0,0.0
1074.0,AL,AK,C05,Chenega Bay,Chenega,GA,None,53.0,0.0,0.0
1076.0,AL,AK,INR,McKinley National Park,McKinley Park,GA,None,53.0,0.0,0.0
1078.0,GL,MI,OZW,Livingston County,Howell,GA,None,53.0,28.0,0.8929
1075.0,NM,OR,HIO,Portland - Hillsboro,Portland,GA,None,53.0,5002.0,-0.9894
1077.0,SO,GA,LZU,Gwinnett County - Briscoe Field,Lawrenceville,GA,None,53.0,604.0,-0.9123
1080.0,AL,AK,BQV,Bartlett Cove,Bartlett Cove,GA,None,52.0,134.0,-0.6119
1082.0,CE,NE,ONL,"The O'Neill Municipal - 
John L Baker Field",O'Neill,GA,None,52.0,0.0,0.0
1081.0,GL,IL,CPS,St Louis Downtown,Cahokia / St Louis,GA,None,52.0,148.0,-0.6486
1084.0,NM,UT,PUC,Carbon County,Price,GA,None,52.0,7.0,6.4286
1079.0,SO,KY,27K,"Georgetown Scott County - 
Marshall Field",Georgetown,GA,None,52.0,1.0,51.0
1083.0,WP,CA,PAO,Palo Alto / Santa Clara County,Palo Alto,GA,None,52.0,65.0,-0.2
1085.0,SO,AL,JKA,Jack Edwards,Gulf Shores,GA,None,51.0,22.0,1.3182
1088.0,AL,AK,IYS,Wasilla,Wasilla,GA,None,50.0,8.0,5.25
1087.0,CE,NE,8V2,Stuart - Atkinson Municipal,Atkinson,GA,None,50.0,0.0,0.0
1089.0,CE,IA,ORC,Orange City Municipal,Orange City,GA,None,50.0,0.0,0.0
1086.0,GL,SD,1D1,Milbank Municipal,Milbank,GA,None,50.0,50.0,0.0
1090.0,NM,ID,U59,Driggs - Reed Memorial,Driggs,GA,None,50.0,120.0,-0.5833
1094.0,CE,IA,EST,Estherville Municipal,Estherville,GA,None,49.0,41.0,0.1951
1091.0,GL,MN,ANE,Anoka County - Blaine (Janes Field),Blaine,GA,None,49.0,1246.0,-0.9607
1092.0,GL,IL,C15,Pekin Municipal,Pekin,GA,None,49.0,19.0,1.5789
1093.0,GL,MI,CVX,Charlevoix Municipal,Charlevoix,GA,None,49.0,16868.0,-0.9971
1095.0,GL,IN,MZZ,Marion Municipal,Marion,GA,None,49.0,0.0,0.0
1096.0,SW,OK,OUN,University of Oklahoma Westheimer,Norman,GA,None,49.0,83.0,-0.4096
1099.0,AL,AK,HYG,Hydaburg,Hydaburg,GA,None,48.0,132.0,-0.6364
1097.0,EA,NJ,39N,Princeton,Rocky Hill,GA,None,48.0,12.0,3.0
1098.0,GL,MI,DUH,Toledo Suburban,Lambertville,GA,None,48.0,14.0,2.4286
