Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub,CY 12 Enplanements,CY 11 Enplanements,% Change
387,GL,OH,LUK,Cincinnati,Cincinnati Municipal Airport Lunken Field,GA,None,11833,9308,0.2713
450,GL,OH,LCK,Columbus,Rickenbacker International,CS,None,6513,7597,-0.1427
603,GL,OH,BKL,Cleveland,Burke Lakefront,GA,None,1829,1357,0.3478
741,GL,OH,MFD,Mansfield,Mansfield Lahm Regional,GA,None,501,25,19.04
932,GL,OH,CGF,Cleveland,Cuyahoga County,GA,None,74,5,13.8
976,GL,OH,SGH,Springfield,Springfield-Beckley Municipal,GA,None,50,9,4.5556
1000,GL,OH,OSU,Columbus,Ohio State University,GA,None,41,44,-0.0682
1011,GL,OH,4I3,Mount Vernon,Knox County,GA,None,36,0,0
1044,GL,OH,HAO,Hamilton,Butler Co Regional-Hogan Field,GA,None,28,10,1.8
1052,GL,OH,DLZ,Delaware,Delaware Municipal - Jim Moore Field,GA,None,26,6,3.3333
1077,GL,OH,MGY,Dayton,Dayton-Wright Brothers,GA,None,24,0,0
1140,GL,OH,TDZ,Walbridge,Toledo Executive,GA,None,18,12,0.5
1205,GL,OH,PCW,Port Clinton,Carl R Keller Field,GA,None,12,7024,-0.9983
1283,GL,OH,MWO,Middletown,Middletown Regional/Hook Field,GA,None,8,1,7
1302,GL,OH,I23,Washington Court House,Fayette County,GA,None,7,0,0
1346,GL,OH,38D,Salem,Salem Airpark Inc,GA,None,5,27,-0.8148
1386,GL,OH,VES,Versailles,Darke County,GA,None,5,0,0
1411,GL,OH,CYO,Circleville,Pickaway County Memorial,GA,None,4,0,0
1422,GL,OH,LPR,Lorain,Lorain County Regional,GA,None,4,0,0
1443,GL,OH,1G3,Stow,Kent State University,GA,None,3,0,0
1482,GL,OH,UNI,Athens,Ohio University Snyder Field,GA,None,3,5,-0.4
1561,GL,OH,PHD,New Philadelphia,Harry Clever Field,GA,None,2,0,0
1562,GL,OH,PMH,Portsmouth,Greater Portsmouth Regional,GA,None,2,0,0
1579,GL,OH,TZR,Columbus,Bolton Field,GA,None,2,0,0
1590,GL,OH,AKR,Akron,Akron Fulton International,GA,None,1,2,-0.5
1611,GL,OH,I43,Jackson,James A Rhodes,GA,None,1,0,0
1613,GL,OH,LNN,Willoughby,Willoughby Lost Nation Municipal,GA,None,1,0,0
64,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,1801650,1738438,0.0364
76,SW,OK,TUL,Tulsa,Tulsa International,P,S,1324202,1346122,-0.0163
266,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,55678,63909,-0.1288
567,SW,OK,SWO,Stillwater,Stillwater Regional,GA,None,2474,2441,0.0135
652,SW,OK,TIK,Oklahoma City,Tinker AFB,GA,None,1153,1242,-0.0717
739,SW,OK,1F0,Ardmore,Ardmore Downtown Executive,GA,None,506,592,-0.1453
757,SW,OK,HHW,Hugo,Stan Stamper Municipal,GA,None,443,543,-0.1842
781,SW,OK,PWA,Oklahoma City,Wiley Post,GA,None,357,114,2.1316
810,SW,OK,MLC,McAlester,McAlester Regional,GA,None,259,0,0
874,SW,OK,OUN,Norman,University of Oklahoma Westheimer,GA,None,126,181,-0.3039
906,SW,OK,WWR,Woodward,West Woodward,GA,None,98,36,1.7222
1045,SW,OK,MIO,Miami,Miami Municipal,GA,None,28,0,0
1134,SW,OK,GOK,Guthrie,Guthrie-Edmond Regional,GA,None,18,0,0
1206,SW,OK,PNC,Ponca City,Ponca City Regional,GA,None,12,0,0
1239,SW,OK,RVS,Tulsa,Richard Lloyd Jones Jr,GA,None,10,10,0
1247,SW,OK,ADM,Ardmore,Ardmore Municipal,GA,None,9,60,-0.85
1363,SW,OK,FDR,Frederick,Frederick Regional,GA,None,5,0,0
1407,SW,OK,CHK,Chickasha,Chickasha Municipal,GA,None,4,0,0
1518,SW,OK,CLK,Clinton,Clinton Regional,GA,None,2,0,0
1531,SW,OK,GMJ,Grove,Grove Municipal,GA,None,2,0,0
1572,SW,OK,SRE,Seminole,Seminole Municipal,GA,None,2,0,0
1586,SW,OK,1K8,Ketchum,South Grand Lake Regional,GA,None,1,0,0
1595,SW,OK,BVO,Bartlesville,Bartlesville Municipal,GA,None,1,0,0
30,NM,OR,PDX,Portland,Portland International,P,M,7142620,6808486,0.0491
128,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,S,407124,393504,0.0346
151,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,N,313638,301742,0.0394
169,NM,OR,RDM,Redmond,Roberts Field,P,N,229736,230395,-0.0029
345,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,18283,22066,-0.1714
358,NM,OR,LMT,Klamath Falls,Klamath Falls,P,N,15237,15856,-0.039
478,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,None,5066,4952,0.023
615,NM,OR,UAO,Aurora,Aurora State,GA,None,1679,19,87.3684
785,NM,OR,AST,Astoria,Astoria Regional,GA,None,334,1383,-0.7585
871,NM,OR,HIO,Portland,Portland-Hillsboro,GA,None,126,71,0.7746
998,NM,OR,MMV,McMinnville,McMinnville Municipal,GA,None,41,2,19.5
1020,NM,OR,TTD,Portland,Portland-Troutdale,GA,None,33,0,0
1037,NM,OR,SPB,Scappoose,Scappoose Industrial Airpark,GA,None,30,0,0
1062,NM,OR,BDN,Bend,Bend Municipal,GA,None,25,11,1.2727
1088,NM,OR,CVO,Corvallis,Corvallis Municipal,GA,None,22,40,-0.45
1157,NM,OR,GCD,John Day,Grant County Regional/Ogilvie Field,GA,None,16,0,0
1170,NM,OR,RBG,Roseburg,Roseburg Regional,GA,None,15,40,-0.625
1188,NM,OR,ONO,Ontario,Ontario Municipal,GA,None,14,2,6
1217,NM,OR,SLE,Salem,McNary Field,GA,None,11,279,-0.9606
1245,NM,OR,4S2,Hood River,Ken Jernstedt Airfield,GA,None,9,26,-0.6538
1274,NM,OR,DLS,Klickitat (County),Columbia Gorge Regional/The Dalles Municipal,GA,None,8,2,3
1279,NM,OR,HRI,Hermiston,Hermiston Municipal,GA,None,8,0,0
1303,NM,OR,LGD,La Grande,La Grande/Union County,GA,None,7,0,0
1311,NM,OR,ONP,Newport,Newport Municipal,GA,None,7,1150,-0.9939
1347,NM,OR,3S8,Grants Pass,Grants Pass,GA,None,5,2,1.5
1352,NM,OR,BNO,Burns,Burns Municipal,GA,None,5,0,0
1491,NM,OR,3S9,Condon,Condon State Pauling Field,GA,None,2,3,-0.3333
1568,NM,OR,S03,Ashland,Ashland Municipal-Sumner Parker Field,GA,None,2,8,-0.75
18,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,14589337,14883180,-0.0197
46,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,3892338,4070614,-0.0438
105,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,657074,655294,0.0027
141,EA,PA,ABE,Allentown,Lehigh Valley International,P,N,350066,428332,-0.1827
173,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,222060,228367,-0.0276
203,EA,PA,UNV,State College,University Park,P,N,137599,144054,-0.0448
214,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,109185,112749,-0.0316
237,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,79531,36971,1.1512
319,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,25974,24508,0.0598
447,EA,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,CS,None,6986,7956,-0.1219
462,EA,PA,LNS,Lititz,Lancaster,CS,None,5779,7575,-0.2371
477,EA,PA,DUJ,Brookville,Dubois Regional,CS,None,5074,5986,-0.1524
527,EA,PA,AOO,Altoona,Altoona-Blair County,CS,None,3256,4107,-0.2072
577,EA,PA,BFD,Bradford,Bradford Regional,GA,None,2310,2908,-0.2056
625,EA,PA,RDG,Reading,Reading Regional/Carl A Spaatz Field,GA,None,1556,2184,-0.2875
639,EA,PA,FKL,Franklin,Venango Regional,GA,None,1321,1284,0.0288
645,EA,PA,AGC,West Mifflin,Allegheny County,GA,None,1245,408,2.0515
831,EA,PA,PNE,Philadelphia,Northeast Philadelphia,GA,None,222,350,-0.3657
840,EA,PA,LOM,Ambler,Wings Field,GA,None,207,126,0.6429
984,EA,PA,AFJ,Washington,Washington County,GA,None,46,129,-0.6434
1043,EA,PA,GKJ,Meadville,Port Meadville,GA,None,28,0,0
1081,EA,PA,THV,York,York,GA,None,24,7,2.4286
1121,EA,PA,CXY,New Cumberland,Capital City,GA,None,19,4,3.75
1149,EA,PA,IDI,Indiana,Indiana County/Jimmy Stewart Field/,GA,None,17,18,-0.0556
1150,EA,PA,MQS,Coatesville,Chester County G O Carlson,GA,None,17,3,4.6667
