Rank,ST,Locid,City,Airport Name,Service Level,Hub Type,CY 2004 Boardings,CY 2003 Boardings,% Change
1025.0,AK,DCK,Dahl Creek,Dahl Creek,GA,None,62.0,25.0,1.48
1024.0,AK,AK71,Lonely,Lonely AS,GA,None,62.0,125.0,-0.504
1034.0,AK,15Z,McCarthy,McCarthy,GA,None,58.0,42.0,0.381
1039.0,AK,84K,Meyers Chuck,Meyers Chuck,GA,None,57.0,108.0,-0.4722
1042.0,AK,2Z6,False Island,False Island,GA,None,56.0,0.0,0.0
1057.0,AK,38AK,Wasilla,Mels,GA,None,51.0,0.0,0.0
1061.0,AK,CEM,Central,Central,GA,None,50.0,48.0,0.0417
1060.0,AK,2AK,Lime Village,Lime Village,GA,None,50.0,73.0,-0.3151
1067.0,AK,CZN,Chisana,Chisana,GA,None,49.0,34.0,0.4412
1066.0,AK,AFE,Kake,Kake,GA,None,49.0,0.0,0.0
1068.0,AK,ENN,Nenana,Nenana Municipal,GA,None,49.0,8.0,5.125
1086.0,AK,8AK7,Kaktovik,Bullen Point Air Force Station,GA,None,44.0,0.0,0.0
1120.0,AK,HYG,Hydaburg,Hydaburg,GA,None,35.0,23.0,0.5217
1118.0,AK,AK60,Jensens,Fort Jensen,GA,None,35.0,26.0,0.3462
1131.0,AK,96Z,North Whale Pass,North Whale,GA,None,32.0,25.0,0.28
1138.0,AK,CYM,Chatham,Chatham,GA,None,31.0,3.0,9.3333
1169.0,AK,5A8,Aleknagik,Aleknagik /New/,GA,None,27.0,27.0,0.0
1176.0,AK,TKL,Taku Lodge,Taku Lodge,GA,None,27.0,346.0,-0.922
1196.0,AK,BIG,Delta Junction Ft Greely,Allen AAF,GA,None,24.0,15.0,0.6
1197.0,AK,KIB,Ivanof Bay,Ivanof Bay,GA,None,24.0,19.0,0.2632
1208.0,AK,AK13,Chena Hot Springs,Chena Hot Springs,GA,None,23.0,18.0,0.2778
1209.0,AK,AK78,Deadhorse,Badami,GA,None,23.0,0.0,0.0
1214.0,AK,37AK,Big Mountain Radio Relay Site (U.S. Air Force),Big Mountain,GA,None,21.0,4.0,4.25
1225.0,AK,SWD,Seward,Seward,GA,None,21.0,18.0,0.1667
1221.0,AK,KWP,West Point,West Point Village,GA,None,21.0,32.0,-0.3438
1234.0,AK,KMY,Moser Bay,Moser Bay,GA,None,20.0,13.0,0.5385
1232.0,AK,IYS,Wasilla,Wasilla,GA,None,20.0,0.0,0.0
1245.0,AK,CKX,Chicken,Chicken,GA,None,19.0,3.0,5.3333
1252.0,AK,SYA,Shemya,Eareckson AS,GA,None,19.0,0.0,0.0
1260.0,AK,ORT,Northway,Northway,GA,None,18.0,23.0,-0.2174
1273.0,AK,KOY,Olga Bay,Olga Bay,GA,None,17.0,23.0,-0.2609
1267.0,AK,0AK6,Victory Bible Camp,Victory,GA,None,17.0,0.0,0.0
1279.0,AK,AK80,American Creek,American Creek,GA,None,16.0,22.0,-0.2727
1283.0,AK,D66,Delta Junction,Delta Junction,GA,None,16.0,2.0,7.0
1300.0,AK,LSR,Lost River,Lost River 1,GA,None,15.0,3.0,4.0
1310.0,AK,AK75,Candle,Candle 2,GA,None,14.0,20.0,-0.3
1307.0,AK,3T4,Tetlin,Tetlin,GA,None,14.0,0.0,0.0
1335.0,AK,BNF,Baranof,Warm Spring Bay,GA,None,13.0,8.0,0.625
1348.0,AK,WSJ,San Juan,San Juan /Uganik/,GA,None,13.0,22.0,-0.4091
1356.0,AK,9A8,Ugashik,Ugashik/New,GA,None,12.0,2.0,5.0
1388.0,AK,FWL,Farewell,Farewell,GA,None,11.0,9.0,0.2222
1408.0,AK,BQV,Bartlett Cove,Bartlett Cove,GA,None,10.0,26.0,-0.6154
1446.0,AK,KCN,Chernofski Harbor,Chernofski Harbor,GA,None,9.0,4.0,1.25
1432.0,AK,A79,Chignik Lake,Chignik Lake,GA,None,9.0,0.0,0.0
1500.0,AK,AK81,Amook Bay,Amook Bay,GA,None,7.0,26.0,-0.7308
1505.0,AK,CXC,Chitina,Chitina,GA,None,7.0,6.0,0.1667
1517.0,AK,KKB,Kitoi Bay,Kitoi Bay,GA,None,7.0,14.0,-0.5
1564.0,AK,KBE,Bell Island,Bell Island Hot Springs,GA,None,6.0,12.0,-0.5
1588.0,AK,Z93,Copper Center,Copper Center 2,GA,None,6.0,0.0,0.0
